tickers,word_0,tfidf_0,word_1,tfidf_1,word_2,tfidf_2,word_3,tfidf_3,word_4,tfidf_4,word_5,tfidf_5,word_6,tfidf_6,word_7,tfidf_7,word_8,tfidf_8,word_9,tfidf_9,word_10,tfidf_10,word_11,tfidf_11,word_12,tfidf_12,word_13,tfidf_13,word_14,tfidf_14,word_15,tfidf_15,word_16,tfidf_16,word_17,tfidf_17,word_18,tfidf_18,word_19,tfidf_19,word_20,tfidf_20,word_21,tfidf_21,word_22,tfidf_22,word_23,tfidf_23,word_24,tfidf_24,word_25,tfidf_25,word_26,tfidf_26,word_27,tfidf_27,word_28,tfidf_28,word_29,tfidf_29
AMZN,amazoncom,0.438,peacs,0.373,fulfillment,0.368,amazon,0.245,shipping,0.236,sellers,0.153,q1,0.151,6875,0.145,websites,0.144,merchandise,0.134,equitymethod,0.132,bezos,0.131,aws,0.13,patent,0.125,q3,0.124,ecommerce,0.123,q2,0.113,prc,0.104,electronics,0.085,seller,0.085,internaluse,0.082,internationallyfocused,0.074,szkutak,0.07,toysruscom,0.068,restructuringrelated,0.067,euros,0.059,card,0.059,wwwamazonca,0.056,wwwamazoncom,0.055,unearned,0.054
BBY,stores,0.641,store,0.378,sga,0.283,musicland,0.176,merchandise,0.149,magnolia,0.135,ars,0.128,squad,0.126,geek,0.126,appliances,0.121,shop,0.117,cpw,0.108,ebitdar,0.108,11month,0.094,star,0.093,debentures,0.092,electronics,0.091,gift,0.089,audio,0.078,televisions,0.077,debttocapitalization,0.075,carphone,0.073,video,0.071,card,0.066,entertainment,0.062,largeformat,0.062,speakeasy,0.059,notebook,0.051,canadian,0.05,auctionrate,0.049
BKNG,hotel,0.42,pricelinecom,0.404,bookingcom,0.347,reservations,0.273,airline,0.235,reservation,0.229,bookings,0.197,tickets,0.178,merchant,0.137,hotelscom,0.131,metasearch,0.115,car,0.114,pricedisclosed,0.113,accommodation,0.111,kayak,0.107,hotels,0.107,booking,0.09,room,0.089,agoda,0.078,al,0.078,opentable,0.078,et,0.077,opaque,0.077,websites,0.075,travelweb,0.074,search,0.068,airlines,0.067,otcs,0.067,expedia,0.066,braddock,0.065
MCD,restaurants,0.478,mcdonald,0.467,restaurant,0.383,companyoperated,0.348,mcdonalds,0.238,franchisees,0.238,franchised,0.235,apmea,0.16,systemwide,0.112,developmental,0.09,menu,0.082,chipotle,0.076,refranchising,0.069,food,0.063,guest,0.063,latam,0.059,partly,0.052,latin,0.044,nm,0.04,reimaging,0.039,ieo,0.038,royalties,0.037,00105231,0.035,licensees,0.034,franchising,0.034,conventional,0.033,franchisee,0.032,japan,0.032,breakfast,0.032,chicken,0.032
EBAY,paypal,0.819,ebay,0.423,skype,0.144,marketplaces,0.106,paypals,0.099,websites,0.093,sellers,0.089,stubhub,0.078,gsi,0.077,tickets,0.073,classifieds,0.058,card,0.058,rolex,0.058,merchants,0.05,listings,0.049,user,0.048,shoppingcom,0.044,ecommerce,0.043,offline,0.041,seller,0.04,gmv,0.039,buyer,0.039,merchant,0.039,buyers,0.038,commerce,0.038,halfcom,0.035,tpv,0.034,ebaycom,0.033,search,0.031,auction,0.03
F,ford,0.888,automotive,0.265,motor,0.154,vehicles,0.133,incomeloss,0.115,vehicle,0.089,volvo,0.074,securitization,0.063,mazda,0.063,uaw,0.048,fce,0.047,trucks,0.045,dealer,0.043,wholesale,0.043,subsidiariesnotes,0.043,rover,0.041,operatingrelated,0.041,fuel,0.039,emissions,0.039,veba,0.036,hertz,0.036,fords,0.034,pag,0.034,statementsnote,0.034,warranty,0.033,jaguar,0.033,nonconsumer,0.032,fcar,0.031,assetbacked,0.031,commodity,0.03
HD,depot,0.72,stores,0.44,store,0.298,hd,0.167,merchandise,0.143,tome,0.111,sga,0.101,expo,0.098,associates,0.098,lumber,0.068,flooring,0.063,merchandising,0.06,carol,0.06,ticket,0.058,omnibus,0.058,assortment,0.058,installation,0.057,garden,0.056,asr,0.054,interline,0.054,card,0.052,inventories,0.05,rationalization,0.049,georgia,0.048,plumbing,0.046,chain,0.045,blake,0.042,shrink,0.041,lighting,0.041,gift,0.038
TGT,card,0.582,stores,0.355,guests,0.254,comparablestore,0.248,merchandise,0.231,sga,0.21,redcard,0.164,ebit,0.156,guest,0.142,scovanner,0.123,store,0.12,jpmc,0.113,nonrecourse,0.098,td,0.091,redcards,0.09,pharmacy,0.089,roic,0.087,postretirement,0.079,eps,0.076,taxonomy,0.073,canadian,0.072,markdowns,0.067,marshall,0.065,visa,0.063,periodend,0.061,minnesota,0.059,gift,0.058,douglas,0.057,cvs,0.055,3a,0.054
WHR,whirlpool,0.807,befiex,0.241,brazilian,0.193,maytag,0.186,indesit,0.168,embraco,0.16,sundry,0.145,pricemix,0.113,hefei,0.093,whirlpools,0.09,compressor,0.089,sanyo,0.087,appliance,0.081,appliances,0.081,latin,0.078,reais,0.077,ipi,0.075,13932,0.066,emea,0.062,postretirement,0.059,merloni,0.054,warranty,0.052,brazil,0.05,recall,0.05,manufacturing,0.049,forwardsoptions,0.046,oilrelated,0.044,monetized,0.041,hotpoint,0.041,compressors,0.04
JPM,jpmorgan,0.539,lendingrelated,0.276,mortgage,0.246,card,0.227,pages,0.218,var,0.173,noninterest,0.134,ib,0.133,pci,0.124,chargeoffs,0.123,basel,0.121,securitizations,0.114,wholesale,0.113,residential,0.11,securitization,0.109,tss,0.105,stearns,0.104,nonperforming,0.094,msrs,0.094,chargeoff,0.09,nonaccrual,0.087,servicing,0.087,firmwide,0.083,cib,0.083,nm,0.081,msr,0.08,afs,0.079,tier,0.078,rfs,0.077,lending,0.076
