tickers,word_0,tfidf_0,word_1,tfidf_1,word_2,tfidf_2,word_3,tfidf_3,word_4,tfidf_4,word_5,tfidf_5,word_6,tfidf_6,word_7,tfidf_7,word_8,tfidf_8,word_9,tfidf_9,word_10,tfidf_10,word_11,tfidf_11,word_12,tfidf_12,word_13,tfidf_13,word_14,tfidf_14,word_15,tfidf_15,word_16,tfidf_16,word_17,tfidf_17,word_18,tfidf_18,word_19,tfidf_19,word_20,tfidf_20,word_21,tfidf_21,word_22,tfidf_22,word_23,tfidf_23,word_24,tfidf_24,word_25,tfidf_25,word_26,tfidf_26,word_27,tfidf_27,word_28,tfidf_28,word_29,tfidf_29
AMZN,amazoncom,0.528,peac,0.327,amazon,0.288,ship,0.287,seller,0.252,bezo,0.162,equitymethod,0.156,merchandis,0.155,ecommerc,0.151,aw,0.146,prc,0.113,internalus,0.101,card,0.101,internationallyfocus,0.092,szkutak,0.087,toysruscom,0.083,restructuringrel,0.079,investe,0.071,wwwamazonca,0.069,wwwamazoncom,0.068,shipment,0.067,wwwamazond,0.066,wwwamazoncouk,0.066,unearn,0.065,wwwamazoncojp,0.064,pledg,0.064,jeffrey,0.063,longzon,0.063,wrongdo,0.062,kindl,0.062
BBY,sga,0.44,musicland,0.247,merchandis,0.236,applianc,0.214,magnolia,0.212,squad,0.198,geek,0.197,shop,0.182,ar,0.178,ebitdar,0.168,cpw,0.159,debentur,0.147,card,0.139,star,0.138,gift,0.126,audio,0.122,carphon,0.113,video,0.11,debttocapit,0.098,largeformat,0.097,tradenam,0.096,phone,0.091,remodel,0.09,notebook,0.086,speakeasi,0.086,entertain,0.084,televis,0.079,canadian,0.078,auctionr,0.078,auction,0.069
BKNG,hotel,0.48,pricelinecom,0.442,bookingcom,0.424,airlin,0.269,ticket,0.211,hotelscom,0.142,kayak,0.139,car,0.138,merchant,0.136,pricedisclos,0.123,room,0.121,metasearch,0.115,opent,0.107,al,0.086,et,0.084,opaqu,0.078,night,0.077,travelweb,0.077,agoda,0.077,search,0.072,expedia,0.072,rentalcarscom,0.071,braddock,0.07,schulman,0.062,pricelin,0.061,nca,0.06,ctrip,0.056,agodacom,0.055,googl,0.052,walker,0.052
MCD,restaur,0.764,companyoper,0.306,mcdonald,0.292,franchise,0.282,franchis,0.173,apmea,0.165,systemwid,0.114,development,0.096,menu,0.089,refranchis,0.086,chipotl,0.073,food,0.066,guest,0.064,latam,0.06,partli,0.055,reimag,0.054,royalti,0.051,latin,0.048,license,0.047,ieo,0.041,nm,0.04,japan,0.036,chicken,0.034,convent,0.033,nutrit,0.033,breakfast,0.032,omnibu,0.032,commod,0.03,occup,0.029,eat,0.024
EBAY,paypal,0.817,ebay,0.458,seller,0.122,skype,0.118,gsi,0.109,merchant,0.089,ticket,0.088,card,0.088,stubhub,0.084,rolex,0.053,ecommerc,0.047,offlin,0.044,shoppingcom,0.044,auction,0.043,gmv,0.042,commerc,0.041,halfcom,0.039,tpv,0.037,search,0.035,ebaycom,0.035,counterfeit,0.03,processor,0.026,client,0.026,copyright,0.026,meritori,0.025,shop,0.025,butterfield,0.024,billpoint,0.024,launder,0.022,licensur,0.022
F,ford,0.902,automot,0.265,motor,0.133,incomeloss,0.116,securit,0.098,volvo,0.077,mazda,0.066,dealer,0.063,truck,0.056,fce,0.053,uaw,0.048,wholesal,0.046,emiss,0.045,rover,0.042,subsidiariesnot,0.042,operatingrel,0.041,vie,0.039,car,0.038,fcar,0.038,hertz,0.036,veba,0.036,jaguar,0.035,pag,0.034,fuel,0.034,statementsnot,0.033,nonconsum,0.033,warranti,0.032,commod,0.031,assetback,0.031,ghg,0.028
HD,depot,0.843,merchandis,0.219,hd,0.207,sga,0.12,expo,0.119,card,0.09,lumber,0.085,assort,0.078,carol,0.075,omnibu,0.075,ticket,0.075,interlin,0.073,asr,0.067,garden,0.067,nardelli,0.061,georgia,0.06,futurebuild,0.06,plumb,0.058,applianc,0.056,chain,0.055,rdc,0.054,remodel,0.051,ferri,0.051,blake,0.049,menear,0.049,atlanta,0.048,mexico,0.046,kpmg,0.046,contentsth,0.044,floor,0.043
TGT,card,0.621,guest,0.369,comparablestor,0.254,redcard,0.244,merchandis,0.232,sga,0.214,ebit,0.158,scovann,0.126,remodel,0.113,jpmc,0.105,pharmaci,0.1,nonrecours,0.1,td,0.092,roic,0.089,postretir,0.081,zeller,0.08,markdown,0.079,taxonomi,0.075,mervyn,0.074,canadian,0.073,ep,0.071,supertarget,0.069,visa,0.066,trc,0.065,marshal,0.061,minnesota,0.06,periodend,0.06,dougla,0.058,gift,0.053,linkbas,0.05
WHR,whirlpool,0.811,befiex,0.239,brazilian,0.191,indesit,0.171,maytag,0.168,embraco,0.154,applianc,0.152,sundri,0.144,compressor,0.123,pricemix,0.111,hefei,0.092,sanyo,0.087,reai,0.076,latin,0.074,ipi,0.068,postretir,0.058,emea,0.054,merloni,0.054,brazil,0.05,recal,0.049,warranti,0.047,refriger,0.047,forwardsopt,0.045,oilrel,0.043,monet,0.043,alno,0.042,hotpoint,0.039,amana,0.038,kitchenaid,0.036,raw,0.033
JPM,jpmorgan,0.568,lendingrel,0.293,securit,0.254,card,0.244,chargeoff,0.219,var,0.195,msr,0.178,noninterest,0.142,pci,0.127,client,0.127,basel,0.126,ib,0.121,wholesal,0.117,residenti,0.116,vie,0.107,tss,0.105,stearn,0.103,nonaccru,0.093,cib,0.087,firmwid,0.086,nm,0.081,lend,0.08,af,0.076,creditimpair,0.075,multisel,0.071,tier,0.071,spe,0.059,cb,0.057,heldforsal,0.057,conduit,0.056
SIVB,svb,0.884,client,0.262,noninterest,0.185,silicon,0.105,contentssvb,0.092,valley,0.089,nonmarket,0.088,bancshar,0.077,unfund,0.062,equityventur,0.061,interestearn,0.06,nonaccru,0.058,alliant,0.057,chargeoff,0.055,svbfg,0.053,periodend,0.045,wine,0.045,sciencehealthcar,0.045,lend,0.044,subsidiariesnot,0.042,fte,0.042,riskweight,0.04,standbi,0.039,tier,0.038,riskrat,0.037,volcker,0.036,debentur,0.034,bancventur,0.032,ftp,0.032,mortgageback,0.029
CFG,incmanag,0.369,basel,0.283,frb,0.272,cbna,0.27,rb,0.243,alll,0.233,var,0.208,incnot,0.177,noninterest,0.176,tier,0.171,chargeoff,0.164,tdr,0.164,riskweight,0.156,fhlb,0.152,residenti,0.143,sbo,0.137,citizen,0.131,cbpa,0.12,cfg,0.118,stress,0.11,msr,0.092,noncor,0.083,lend,0.082,lcr,0.081,nonperform,0.079,nonaccru,0.074,occ,0.069,investmentpostmodif,0.064,contractspremodif,0.064,appetit,0.061
C,citigroup,0.74,securit,0.193,card,0.188,basel,0.128,gcb,0.126,tier,0.126,vie,0.125,citicorp,0.124,cdo,0.114,conduit,0.113,nonaccru,0.108,citibank,0.105,icg,0.105,lend,0.102,citibrand,0.101,riskweight,0.099,client,0.098,msr,0.091,dta,0.087,nm,0.082,cva,0.08,fx,0.08,tob,0.078,residenti,0.077,htm,0.074,af,0.068,var,0.065,prioryear,0.063,cgmhi,0.059,mortgageback,0.059
