,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
88,increased primarily due,8.703999999999999,0.0,8.703999999999999,0.0,385,5,0,5
23,compared million,10.39,18.394,2.0780000000000003,18.394,349,1,5,4
87,increased primarily,8.703999999999999,17.86,8.703999999999999,3.572,488,5,1,4
164,recoverable,8.24,18.394,1.6480000000000001,18.394,283,1,5,4
163,reclamation,8.24,18.527500000000003,1.6480000000000001,14.822000000000003,654,1,4,3
110,mineral,8.24,18.527500000000003,1.6480000000000001,14.822000000000003,775,1,4,3
178,shipment,9.315000000000001,18.394,3.7260000000000004,18.394,513,2,5,3
91,industrial gas,8.6,0.0,5.16,0.0,277,3,0,3
169,research development,8.703999999999999,18.475,8.703999999999999,7.390000000000001,271,5,2,3
10,average selling,0.0,18.536666666666665,0.0,11.122,301,0,3,3
51,decreased primarily,8.282499999999999,17.9,6.6259999999999994,3.5799999999999996,308,4,1,3
68,exploration,8.24,18.527500000000003,1.6480000000000001,14.822000000000003,470,1,4,3
76,fmc,0.0,18.483333333333334,0.0,11.09,770,0,3,3
129,operating segment,8.703999999999999,18.2,8.703999999999999,7.279999999999999,319,5,2,3
20,charge million,9.4,18.394,3.7600000000000002,18.394,260,2,5,3
154,price per,9.37,18.394,5.622,18.394,293,3,5,2
75,flavor,8.24,0.0,3.2960000000000003,0.0,368,2,0,2
158,proven probable,8.24,18.496666666666666,1.6480000000000001,11.098,350,1,3,2
156,processing,8.703999999999999,18.736666666666668,8.703999999999999,11.242,333,5,3,2
155,primarily due higher,8.510000000000002,18.475,6.808000000000002,7.390000000000001,336,4,2,2
34,continuing operation,8.703999999999999,18.086666666666666,8.703999999999999,10.852,568,5,3,2
45,crop protection,0.0,18.475,0.0,7.390000000000001,272,0,2,2
103,metal,8.703999999999999,18.736666666666668,8.703999999999999,11.242,1285,5,3,2
106,million net,9.73,18.394,5.838,18.394,440,3,5,2
107,million per,9.73,18.394,5.838,18.394,293,3,5,2
46,currency forward,8.82,18.475,7.056,7.390000000000001,411,4,2,2
47,currency operating,7.785,0.0,3.114,0.0,292,2,0,2
71,financial measure,8.703999999999999,18.483333333333334,8.703999999999999,11.09,272,5,3,2
109,million related,9.73,18.394,5.838,18.394,291,3,5,2
67,expense million,9.73,18.394,5.838,18.394,261,3,5,2
117,net earnings,9.4,18.527500000000003,3.7600000000000002,14.822000000000003,320,2,4,2
44,crop,10.39,18.523333333333337,2.0780000000000003,11.114,430,1,3,2
166,reference exhibit,9.3575,18.259999999999998,7.486,7.303999999999999,601,4,2,2
165,refer note,8.703999999999999,18.326666666666668,8.703999999999999,10.996,578,5,3,2
17,cf,9.935,18.527500000000003,3.974,14.822000000000003,913,2,4,2
196,versus,8.703999999999999,18.283333333333335,8.703999999999999,10.97,432,5,3,2
189,totaled million,9.73,18.394,5.838,18.394,308,3,5,2
9,attributable common,9.48,18.34,1.8960000000000001,11.004000000000001,338,1,3,2
187,three six month ended june,9.316666666666668,18.394,5.590000000000001,18.394,310,3,5,2
97,lithium,0.0,18.475,0.0,7.390000000000001,567,0,2,2
118,net income attributable,8.703999999999999,18.483333333333334,8.703999999999999,11.09,386,5,3,2
81,general administrative,9.013333333333334,18.394,5.4079999999999995,18.394,442,3,5,2
119,net sale,9.3575,18.855,7.486,7.542,421,4,2,2
176,senior note due,9.37,18.394,5.622,18.394,343,3,5,2
77,foreign currency forward,8.82,18.475,7.056,7.390000000000001,298,4,2,2
173,sale per,8.703999999999999,18.34,8.703999999999999,11.004000000000001,368,5,3,2
172,royalty,8.703999999999999,18.496666666666666,8.703999999999999,11.098,479,5,3,2
