,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
148,price class common stock,0.0,10.9,0.0,7.27,65,0,2,2
186,three month ended december,5.7,10.18,5.7,3.39,88,3,1,2
50,could adversely affect financial,5.0,10.57,1.67,10.57,67,1,3,2
137,note consolidated financial statement included,5.0,10.57,1.67,10.57,90,1,3,2
48,contentsnotes consolidated financial statement,6.06,0.0,4.04,0.0,128,2,0,2
47,consolidated financial statement included part,5.0,10.57,1.67,10.57,99,1,3,2
62,district court northern district,0.0,10.9,0.0,7.27,43,0,2,2
64,effective income tax rate,5.7,11.62,5.7,3.87,62,3,1,2
65,effective tax rate three,5.0,10.57,1.67,10.57,61,1,3,2
173,share class common stock,0.0,10.9,0.0,7.27,143,0,2,2
83,financial statement included part,5.0,10.57,1.67,10.57,99,1,3,2
84,financial statement included part item,5.0,10.57,1.67,10.57,97,1,3,2
180,statement except per share,6.11,10.57,2.04,10.57,154,1,3,2
181,statement included part item,5.0,10.57,1.67,10.57,97,1,3,2
116,million year ended december,6.0,10.57,2.0,10.57,54,1,3,2
115,million three month ended march,6.0,10.57,2.0,10.57,57,1,3,2
27,class common stock class,0.0,10.9,0.0,7.27,88,0,2,2
4,accompanying note consolidated financial statement,0.0,10.05,0.0,6.7,59,0,2,2
113,measured fair value recurring,5.7,11.62,5.7,3.87,56,3,1,2
189,trading price class common,0.0,10.9,0.0,7.27,62,0,2,2
190,trading price class common stock,0.0,10.9,0.0,7.27,48,0,2,2
11,adversely affect business financial,0.0,10.9,0.0,7.27,64,0,2,2
92,gross unrecognized tax benefit,5.0,10.57,1.67,10.57,63,1,3,2
106,loss sale business classification certain,6.11,0.0,2.04,0.0,46,1,0,1
132,net loss sale business,6.11,0.0,2.04,0.0,44,1,0,1
133,nine month ended december,5.0,0.0,1.67,0.0,173,1,0,1
135,note condensed consolidated financial,5.5,10.18,3.67,3.39,176,2,1,1
107,march compared similar period,6.0,0.0,2.0,0.0,68,1,0,1
136,note condensed consolidated financial statement,5.5,10.18,3.67,3.39,111,2,1,1
114,million aggregate principal amount,5.5,9.92,3.67,3.31,55,2,1,1
105,loss sale business classification,6.11,0.0,2.04,0.0,46,1,0,1
130,net income available ipg,6.11,0.0,2.04,0.0,48,1,0,1
104,le variable nature may correlate,0.0,11.62,0.0,3.87,45,0,1,1
103,le variable nature may,0.0,11.62,0.0,3.87,45,0,1,1
138,note note consolidated financial,5.0,10.77,1.67,7.18,63,1,2,1
139,note note consolidated financial statement,5.0,10.77,1.67,7.18,63,1,2,1
140,number unique people using,0.0,10.18,0.0,3.39,70,0,1,1
131,net income available ipg common,6.11,0.0,2.04,0.0,48,1,0,1
128,multiple user account within,0.0,10.18,0.0,3.39,84,0,1,1
129,multiple user account within across,0.0,10.18,0.0,3.39,56,0,1,1
127,month ended september compared similar,6.0,0.0,2.0,0.0,47,1,0,1
126,month ended march three month,6.06,11.62,4.04,3.87,52,2,1,1
125,month ended march three,6.06,11.62,4.04,3.87,52,2,1,1
124,month ended march compared similar,6.0,0.0,2.0,0.0,68,1,0,1
123,month ended june three,5.56,11.62,3.7,3.87,52,2,1,1
