,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
146,nine month ended september,6.75,14.37,2.25,14.37,354,1,3,2
15,average monthly revenue per,6.9,0.0,4.6,0.0,122,2,0,2
166,report year ended december,6.75,14.37,2.25,14.37,102,1,3,2
131,million year ended december,6.75,14.37,2.25,14.37,139,1,3,2
179,six month ended june compared,6.75,14.37,2.25,14.37,70,1,3,2
132,month ended december company,6.24,0.0,4.16,0.0,58,2,0,2
24,billion senior secured note,0.0,13.24,0.0,8.83,61,0,2,2
112,guarantor party thereto deutsche,0.0,13.24,0.0,8.83,61,0,2,2
135,month ended june compared,6.75,14.37,2.25,14.37,115,1,3,2
66,could material adverse effect financial,0.0,15.01,0.0,10.01,73,0,2,2
65,could adversely affect financial,6.75,14.37,2.25,14.37,74,1,3,2
18,bank new york mellon trust,0.0,13.24,0.0,8.83,120,0,2,2
172,senior secured note due,0.0,13.24,0.0,8.83,125,0,2,2
187,three month ended december,5.72,14.37,1.91,14.37,125,1,3,2
17,bank new york mellon,0.0,13.24,0.0,8.83,126,0,2,2
14,annual report year ended december,6.75,14.37,2.25,14.37,102,1,3,2
192,three six month ended june,6.75,14.37,2.25,14.37,302,1,3,2
143,new york mellon trust,0.0,13.24,0.0,8.83,120,0,2,2
197,year ended december compared,6.75,14.37,2.25,14.37,68,1,3,2
156,party thereto deutsche bank,0.0,13.24,0.0,8.83,58,0,2,2
6,adversely affect business financial,0.0,15.01,0.0,10.01,61,0,2,2
137,month ended march company,6.51,13.1,6.51,4.37,64,3,1,2
190,three nine month ended september,6.75,14.37,2.25,14.37,153,1,3,2
139,monthly revenue per paid,7.06,0.0,2.35,0.0,91,1,0,1
140,monthly revenue per paid subscriber,7.06,0.0,2.35,0.0,80,1,0,1
134,month ended december compared corresponding,5.72,0.0,1.91,0.0,64,1,0,1
133,month ended december compared,5.72,0.0,1.91,0.0,71,1,0,1
141,multiple user account within,0.0,16.63,0.0,5.54,84,0,1,1
142,negative impact foreign currency,5.72,0.0,1.91,0.0,74,1,0,1
128,million positive impact foreign currency,5.72,0.0,1.91,0.0,61,1,0,1
136,month ended june primarily,6.75,13.24,2.25,8.83,101,1,2,1
127,million positive impact foreign,5.72,0.0,1.91,0.0,61,1,0,1
126,million negative impact foreign currency,5.72,0.0,1.91,0.0,66,1,0,1
125,million negative impact foreign,5.72,0.0,1.91,0.0,66,1,0,1
0,accompanying consolidated financial statement,6.24,13.1,4.16,4.37,129,2,1,1
124,million fiscal year ended june,5.72,0.0,1.91,0.0,75,1,0,1
109,foreign currency fluctuation dollar local,5.72,0.0,1.91,0.0,92,1,0,1
101,financial tabular dollar except,7.06,0.0,2.35,0.0,160,1,0,1
102,financial tabular dollar except per,7.06,0.0,2.35,0.0,160,1,0,1
103,fiscal year ended june,5.72,0.0,1.91,0.0,409,1,0,1
104,fiscal year ended june company,5.72,0.0,1.91,0.0,62,1,0,1
105,flow available news corporation,5.72,0.0,1.91,0.0,62,1,0,1
106,fluctuation dollar local currency,5.72,0.0,1.91,0.0,89,1,0,1
107,fluctuation dollar local currency resulted,5.72,0.0,1.91,0.0,89,1,0,1
