,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
177,store sale,0.52,0.0,0.4,0.0,272,7,0,7
158,retail store,0.5,0.0,0.39,0.0,206,7,0,7
176,store closure,0.58,0.0,0.38,0.0,207,6,0,6
78,fiscal million,0.57,0.0,0.38,0.0,194,6,0,6
83,fourth quarter fiscal,0.57,13.92,0.38,1.55,186,6,1,5
40,cost expected,0.0,13.09,0.0,7.27,200,0,5,5
109,million fiscal,0.57,9.53,0.38,1.06,311,6,1,5
71,first quarter fiscal,0.57,9.53,0.38,1.06,550,6,1,5
163,second quarter fiscal,0.67,0.0,0.37,0.0,449,5,0,5
89,gross profit,0.52,13.91,0.4,3.09,385,7,2,5
26,comparable store,0.49,0.0,0.27,0.0,287,5,0,5
128,net revenue,0.41,11.42,0.27,2.54,922,6,2,4
62,equity method,0.05,12.49,0.01,6.94,186,1,5,4
30,condensed financial,0.0,14.66,0.0,6.52,240,0,4,4
50,designated hedging,0.59,14.31,0.13,9.54,228,2,6,4
47,decreased million million,0.41,12.1,0.27,2.69,192,6,2,4
145,quarter fiscal compared,0.83,0.0,0.37,0.0,201,4,0,4
116,million year,0.38,13.62,0.13,10.6,237,3,7,4
115,million three month,0.75,12.19,0.25,9.48,231,3,7,4
114,million three,0.75,12.19,0.25,9.48,315,3,7,4
186,trade receivables,0.05,14.67,0.01,8.15,195,1,5,4
3,adjusted ebitda,0.05,13.1,0.01,7.28,341,1,5,4
196,xbrl taxonomy extension,0.36,16.37,0.28,5.46,200,7,3,4
195,xbrl taxonomy,0.36,16.37,0.28,5.46,201,7,3,4
68,financial service,0.0,11.01,0.0,4.89,374,0,4,4
79,fiscal primarily,0.67,9.53,0.37,1.06,201,5,1,4
185,third quarter fiscal,0.67,9.53,0.37,1.06,374,5,1,4
77,fiscal fiscal,0.67,9.92,0.37,2.2,308,5,2,3
59,ended june,0.58,13.62,0.26,10.6,1700,4,7,3
124,month fiscal,0.79,0.0,0.26,0.0,737,3,0,3
120,month ended june,0.38,14.31,0.13,9.54,1406,3,6,3
130,north america,0.67,13.21,0.37,11.74,242,5,8,3
51,discontinued operation,0.5,14.66,0.11,8.14,207,2,5,3
75,fiscal compared,0.67,9.92,0.37,2.2,528,5,2,3
48,defined benefit plan,0.5,12.65,0.11,7.03,187,2,5,3
117,million year ended,0.38,12.5,0.13,8.33,220,3,6,3
44,currency forward,0.59,13.1,0.13,7.28,236,2,5,3
88,gross margin,0.58,14.61,0.39,4.87,339,6,3,3
140,percentage net,0.5,17.15,0.28,3.81,221,5,2,3
41,credit card,0.59,11.04,0.39,3.68,323,6,3,3
144,quarter fiscal,0.57,11.25,0.38,3.75,1627,6,3,3
164,secured note,0.52,11.99,0.4,5.33,195,7,4,3
27,compared first,0.58,12.76,0.38,4.25,294,6,3,3
173,special item,0.0,16.37,0.0,5.46,278,0,3,3
156,restructuring charge,0.5,14.66,0.11,8.14,255,2,5,3
152,reference rate,0.36,12.63,0.12,8.42,200,3,6,3
32,consolidated condensed,0.0,14.61,0.0,4.87,274,0,3,3
141,plan asset,0.55,13.94,0.24,9.29,261,4,6,2
183,team member,0.13,12.9,0.03,5.73,266,2,4,2
169,service provider,0.59,12.7,0.39,5.65,206,6,4,2
172,six month fiscal,0.62,0.0,0.14,0.0,355,2,0,2
174,statement income,0.58,12.1,0.39,5.38,197,6,4,2
105,march december,0.31,14.31,0.14,9.54,282,4,6,2
98,interest rate swap,0.28,11.9,0.12,7.93,195,4,6,2
102,leverage ratio,0.52,14.61,0.29,4.87,220,5,3,2
166,senior note due,0.58,13.43,0.26,8.95,419,4,6,2
97,input cost,0.0,14.37,0.0,3.19,234,0,2,2
184,term loan,0.55,13.56,0.24,9.04,535,4,6,2
188,twelve week,0.08,0.0,0.02,0.0,210,2,0,2
190,unsecured note,0.42,11.99,0.28,5.33,269,6,4,2
192,vehicle sale,0.1,10.28,0.03,1.14,241,3,1,2
194,week ended,0.43,10.31,0.14,1.15,703,3,1,2
197,year ended december,0.31,14.31,0.14,9.54,1697,4,6,2
168,senior unsecured note,0.42,11.99,0.28,5.33,266,6,4,2
161,sale volume,0.06,14.66,0.02,8.14,297,3,5,2
119,month ended december,0.75,14.38,0.25,7.99,423,3,5,2
132,norwegian cruise line,0.0,11.42,0.0,2.54,293,0,2,2
137,ordinary share,0.0,11.42,0.0,2.54,223,0,2,2
146,rate swap,0.28,11.9,0.12,7.93,212,4,6,2
134,officer pursuant,0.26,12.9,0.17,5.73,181,6,4,2
133,note condensed consolidated,0.59,11.91,0.39,5.29,651,6,4,2
