,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
50,credit card,4.63,14.6,0.51,11.35,696,1,7,6
162,reference exhibit,3.6,14.16,3.2,3.15,705,8,2,6
161,raw material,3.34,17.25,2.97,3.83,585,8,2,6
97,harm busi,1.41,14.53,0.16,9.69,440,1,6,5
36,condensed consolidated financial,3.62,14.52,2.82,3.23,932,7,2,5
35,condensed consolidated,3.62,14.52,2.82,3.23,1694,7,2,5
54,defined benefit,3.23,15.26,2.51,3.39,532,7,2,5
67,end june,0.0,14.93,0.0,8.3,1380,0,5,5
69,end septemb,0.0,15.02,0.0,6.68,1495,0,4,4
169,sale tax,3.03,15.3,0.67,10.2,459,2,6,4
172,sell product,4.1,16.36,3.19,5.45,405,7,3,4
68,end march,2.53,14.93,0.28,8.3,725,1,5,4
167,retail sale,0.0,15.09,0.0,6.71,431,0,4,4
62,effect tax,3.64,16.36,2.83,5.45,813,7,3,4
194,vice presid,3.48,14.72,3.48,8.18,782,9,5,4
134,nine month end,3.48,15.15,3.48,10.1,1002,9,6,3
9,also may,3.83,14.78,1.28,9.85,498,3,6,3
125,million million six,3.73,15.94,2.07,3.54,401,5,2,3
145,payment process,4.63,14.51,0.51,6.45,468,1,4,3
173,senior unsecured,3.63,15.02,2.42,5.01,429,6,3,3
178,six month end,3.48,15.15,3.48,10.1,924,9,6,3
124,million includ,3.48,14.69,3.48,9.79,520,9,6,3
112,international paper,3.1,0.0,0.69,0.0,520,2,0,2
60,earn per,0.0,14.5,0.0,3.22,481,0,2,2
182,special item,2.91,17.19,0.97,1.91,562,3,1,2
12,amount earn,3.83,14.54,2.13,4.85,493,5,3,2
76,file complaint,0.0,14.5,0.0,3.22,429,0,2,2
174,senior vice presid,3.23,14.72,2.51,8.18,550,7,5,2
28,commercial paper,3.64,15.33,2.43,6.81,661,6,4,2
10,america intern,0.0,14.04,0.0,3.12,565,0,2,2
127,month end,3.48,14.91,3.48,11.6,3120,9,7,2
195,web servic,0.0,14.5,0.0,3.22,551,0,2,2
186,tax provis,3.4,14.78,3.02,9.85,413,8,6,2
114,item part ii,3.74,14.67,1.66,9.78,638,4,6,2
96,gross profit,3.22,15.13,1.79,5.04,856,5,3,2
144,operating income,3.63,14.3,2.02,4.77,531,5,3,2
190,three month end,3.48,14.91,3.48,11.6,930,9,7,2
135,north america intern,0.0,14.58,0.0,1.62,565,0,1,1
139,oper cash,0.0,14.58,0.0,1.62,468,0,1,1
136,note consolid,3.48,14.92,3.48,13.26,930,9,8,1
137,note consolid financi,0.0,14.58,0.0,1.62,930,0,1,1
138,oper activ,0.0,14.58,0.0,1.62,661,0,1,1
132,net incom,3.64,15.42,2.83,10.28,782,7,6,1
140,oper expens,0.0,14.58,0.0,1.62,1502,0,1,1
133,net oper,3.48,14.92,3.48,13.26,455,9,8,1
0,accompani note,0.0,14.58,0.0,1.62,467,0,1,1
