,word,good_score,bad_score,good_score_all,bad_score_all,good_nums,bad_nums,diff
53,capital exploration,0.0,21.515,0.0,21.515,0,6,6
64,commodity derivative instrument,13.83,21.515,2.305,21.515,1,6,5
92,dd rate,13.83,21.76,2.305,18.133333333333336,1,5,4
72,condensate natural,11.405000000000001,21.515,3.801666666666667,21.515,2,6,4
52,cameron,9.035999999999998,21.98,7.5299999999999985,3.6633333333333336,5,1,4
74,condensate ngls,11.405000000000001,21.515,3.801666666666667,21.515,2,6,4
90,cubic foot natural,8.765,21.515,2.921666666666667,21.515,2,6,4
73,condensate natural gas,11.405000000000001,21.515,3.801666666666667,21.515,2,6,4
4,adjusted ebitda,10.974999999999998,0.0,7.3166666666666655,0.0,4,0,4
45,brent,7.555,21.14,2.518333333333333,17.616666666666667,2,5,3
98,deferred compensation plan,11.389999999999999,21.515,5.694999999999999,21.515,3,6,3
63,commodity derivative contract,10.453333333333335,21.515,5.2266666666666675,21.515,3,6,3
71,condensate,10.453333333333335,21.515,5.2266666666666675,21.515,3,6,3
80,consolidated revenue,9.834999999999999,21.913333333333338,9.834999999999999,10.956666666666669,6,3,3
34,barrel crude,10.06,21.515,5.03,21.515,3,6,3
83,contract rate,10.339999999999998,21.134999999999998,8.616666666666665,7.044999999999999,5,2,3
5,adopted pursuant,9.294,21.880000000000003,7.745,7.293333333333334,5,2,3
59,chevron corporation,13.83,21.415,2.305,14.276666666666666,1,4,3
86,corporation incentive,7.31,21.86,1.2183333333333333,14.573333333333332,1,4,3
87,corporation subsidiary note,0.0,20.756666666666664,0.0,10.378333333333332,0,3,3
88,creek,10.453333333333335,21.515,5.2266666666666675,21.515,3,6,3
89,crude oil condensate,10.453333333333335,21.515,5.2266666666666675,21.515,3,6,3
6,adopted pursuant section,9.294,21.880000000000003,7.745,7.293333333333334,5,2,3
36,barrel oil equivalent,8.443333333333333,21.14,4.221666666666667,17.616666666666667,3,5,2
37,basis swap,10.453333333333335,21.76,5.2266666666666675,18.133333333333336,3,5,2
69,company recorded,11.226666666666667,21.884,5.613333333333333,18.236666666666668,3,5,2
44,brazil,9.035999999999998,21.349999999999998,7.5299999999999985,10.674999999999999,5,3,2
38,bbl,10.974999999999998,21.515,7.3166666666666655,21.515,4,6,2
61,class share,10.453333333333335,23.76,5.2266666666666675,3.9600000000000004,3,1,2
1,accompanying note integral,10.545,21.705000000000002,3.515,14.47,2,4,2
35,barrel crude oil,10.06,21.14,5.03,17.616666666666667,3,5,2
0,accompanying note consolidated,13.83,21.886666666666667,2.305,10.943333333333333,1,3,2
19,approximately percent,10.665,21.515,7.109999999999999,21.515,4,6,2
31,average realized,10.453333333333335,21.76,5.2266666666666675,18.133333333333336,3,5,2
91,cubic foot per,10.453333333333335,21.14,5.2266666666666675,17.616666666666667,3,5,2
