,word,good_score,bad_score,good_score_all,bad_score_all,good_nums,bad_nums,diff
9,affordable,7.742,12.928666666666665,2.419375,12.120624999999999,5,15,10
6,adjustment expense,6.07,13.09909090909091,0.379375,9.005625,1,11,10
71,ceded,8.51,12.997,0.531875,8.123125,1,10,9
61,capital ratio,8.03,12.97285714285714,3.0112499999999995,11.351249999999999,6,14,8
22,allowance loan loss,8.038,13.189166666666663,2.511875,9.891874999999997,5,12,7
66,casualty,6.329999999999999,12.963,1.186875,8.101875,3,10,7
29,appreciation,6.888571428571429,12.98,3.01375,11.3575,7,14,7
92,commercial mortgage,8.043333333333333,13.160999999999998,1.508125,8.225624999999999,3,10,7
52,benefit claim,0.0,13.008571428571429,0.0,5.69125,0,7,7
4,accounting guidance,7.021111111111111,13.0375,3.949375,13.0375,9,16,7
43,average asset,7.708571428571427,12.910769230769231,3.3724999999999996,10.49,7,13,6
1,accident year,0.0,13.415000000000001,0.0,5.030625000000001,0,6,6
13,afs,8.254999999999999,12.970000000000002,1.0318749999999999,6.485000000000001,2,8,6
15,aig,6.901000000000001,13.0375,4.313125,13.0375,10,16,6
27,annuity,6.73,12.954166666666666,2.52375,9.715625,6,12,6
73,change value,7.033333333333334,12.98333333333333,3.9562500000000003,12.171874999999998,9,15,6
72,certain investment,6.852222222222222,13.086,3.854375,12.268125,9,15,6
95,commercial real,7.295000000000001,13.23,2.735625,9.095625,6,11,5
39,attributable noncontrolling interest,6.476666666666667,13.260000000000002,1.214375,6.630000000000001,3,8,5
42,availableforsalesecuritiesmember,8.22,12.594999999999999,1.54125,6.297499999999999,3,8,5
67,catastrophe,6.7225,13.073333333333332,1.680625,7.35375,4,9,5
68,catastrophe loss,8.3,13.415000000000001,0.51875,5.030625000000001,1,6,5
38,attributable noncontrolling,6.476666666666667,13.260000000000002,1.214375,6.630000000000001,3,8,5
21,allowance loan,7.749999999999999,13.189166666666663,3.3906249999999996,9.891874999999997,7,12,5
45,balance beginning,7.008571428571428,12.679166666666667,3.0662499999999997,9.509375,7,12,5
93,commercial mortgage loan,8.043333333333333,13.1325,1.508125,6.56625,3,8,5
5,acquisition cost,7.138749999999999,13.064615384615385,3.5693749999999995,10.615,8,13,5
84,classified level,6.958888888888889,13.168571428571427,3.9143749999999997,11.522499999999999,9,14,5
88,combined ratio,8.3,13.415000000000001,0.51875,5.030625000000001,1,6,5
91,commercial line,7.915,13.187142857142858,0.989375,5.769375,2,7,5
96,commercial real estate,7.295000000000001,13.23,2.735625,9.095625,6,11,5
41,available sale,7.22,13.306666666666665,3.15875,9.979999999999999,7,12,5
58,branch,7.0760000000000005,13.173571428571426,4.4225,11.526874999999999,10,14,4
49,bank loan,6.90142857142857,13.237272727272728,3.0193749999999997,9.100625,7,11,4
0,accident,7.341666666666666,13.176999999999998,2.753125,8.235624999999999,6,10,4
59,buffer,7.619999999999999,12.986666666666666,3.8099999999999996,9.74,8,12,4
28,aoci,7.354444444444444,12.983846153846153,4.136875,10.549375,9,13,4
24,amortized cost basis,7.281000000000001,13.132142857142856,4.550625,11.490625,10,14,4
69,cdo,7.99,12.920000000000002,0.499375,4.0375000000000005,1,5,4
79,citi,6.800714285714285,12.816999999999998,5.950625,8.010625,14,10,4
3,account liability,7.99,13.236,0.499375,4.13625,1,5,4
2,account asset,6.79,12.915714285714285,1.273125,5.650625,3,7,4
64,cash collateral,7.372999999999999,12.905384615384616,4.608124999999999,10.485625,10,13,3
48,bank holding company,8.03,13.141111111111108,3.0112499999999995,7.391874999999999,6,9,3
47,bank holding,8.03,13.141111111111108,3.0112499999999995,7.391874999999999,6,9,3
50,basel,7.507777777777777,13.151666666666666,4.223125,9.86375,9,12,3
23,alternative investment,6.821428571428571,13.05,2.984375,8.15625,7,10,3
31,asia,6.526923076923078,13.035999999999998,5.3031250000000005,8.147499999999999,13,10,3
14,agreement repurchase,7.156000000000001,13.286249999999999,2.23625,6.6431249999999995,5,8,3
34,assetbackedsecuritiesmember,7.234999999999999,12.837777777777777,2.713125,7.2212499999999995,6,9,3
99,common equity tier,8.03,12.944999999999997,3.0112499999999995,6.472499999999998,6,8,2
32,asset billion,7.608888888888888,13.095454545454544,4.279999999999999,9.003124999999999,9,11,2
76,cincinnati,7.99,13.653333333333334,0.499375,2.56,1,3,2
77,cincinnati financial,0.0,14.26,0.0,1.7825,0,2,2
78,cincinnati financial corporation,0.0,14.26,0.0,1.7825,0,2,2
25,amount million except,7.1525,12.309999999999999,1.788125,1.5387499999999998,4,2,2
30,asc,6.783846153846155,13.077333333333334,5.511875000000001,12.26,13,15,2
65,cash flow hedge,7.091818181818183,12.934615384615386,4.875625,10.509375,11,13,2
81,citibank,6.285,12.2925,2.356875,3.073125,6,4,2
74,charles,7.102857142857142,12.88111111111111,3.1075,7.2456249999999995,7,9,2
86,client asset,6.9975000000000005,12.914999999999997,1.7493750000000001,4.843124999999999,4,6,2
89,comerica,0.0,13.925,0.0,1.740625,0,2,2
90,comerica incorporated,0.0,13.925,0.0,1.740625,0,2,2
11,aflac,0.0,13.675,0.0,1.709375,0,2,2
10,afl,0.0,13.675,0.0,1.709375,0,2,2
94,commercial paper,6.991666666666667,12.72,5.24375,7.95,12,10,2
98,commodity,6.75,13.116153846153843,4.640625,10.656874999999998,11,13,2
75,charles schwab,5.39,12.285,0.336875,1.535625,1,2,1
16,aig common,0.0,14.71,0.0,0.919375,0,1,1
87,cma,7.97,13.186666666666667,0.99625,2.4725,2,3,1
12,aflac japan,0.0,12.64,0.0,0.79,0,1,1
80,citi holding,0.0,12.64,0.0,0.79,0,1,1
17,aig item,0.0,14.71,0.0,0.919375,0,1,1
8,advisory,6.840000000000001,12.9925,4.702500000000001,9.744375,11,12,1
85,clearing,7.073333333333333,13.057692307692305,5.305,10.609374999999998,12,13,1
18,aig parent,0.0,14.71,0.0,0.919375,0,1,1
44,average loan,8.03,13.038571428571426,3.0112499999999995,5.704374999999999,6,7,1
51,basel iii,7.507777777777777,12.944999999999997,4.223125,6.472499999999998,9,8,1
53,benefit obligation,7.150833333333334,13.013636363636362,5.363125,8.946874999999999,12,11,1
54,benefit pension,7.13909090909091,13.122,4.908125,8.20125,11,10,1
55,billion billion respectively,7.341818181818181,12.811666666666666,5.047499999999999,9.608749999999999,11,12,1
19,aiz,0.0,12.69,0.0,0.793125,0,1,1
57,billion respectively,7.341818181818181,12.811666666666666,5.047499999999999,9.608749999999999,11,12,1
33,asset total,6.7825000000000015,13.0,5.086875000000001,10.5625,12,13,1
36,assurant,0.0,12.69,0.0,0.793125,0,1,1
63,card member,8.01,12.64,1.00125,0.79,2,1,1
26,analytics,6.8792307692307695,13.279166666666667,5.589375,9.959375,13,12,1
70,cecl,7.669999999999999,13.022222222222222,3.8349999999999995,7.325,8,9,1
20,ajg,0.0,12.31,0.0,0.769375,0,1,1
37,asu,6.81125,13.0375,6.81125,13.0375,16,16,0
97,commercialportfoliosegmentmember,7.444,12.862,2.32625,4.019375,5,5,0
40,auto,6.81125,13.0375,6.81125,13.0375,16,16,0
7,advisor,6.920000000000001,12.910769230769231,5.6225000000000005,10.49,13,13,0
56,billion dollar,7.046666666666667,12.496666666666668,1.32125,2.343125,3,3,0
35,associate,6.81125,13.0375,6.81125,13.0375,16,16,0
60,canada,6.565,13.19083333333333,4.92375,9.893124999999998,12,12,0
62,card,7.3163636363636355,12.989999999999998,5.029999999999999,8.930625,11,11,0
83,citigroup,7.14,12.465,0.8925,1.558125,2,2,0
82,citicorp,7.02,12.64,0.43875,0.79,1,1,0
46,bancorp,8.07,12.54,1.00875,1.5675,2,2,0
