,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
93,invested asset,8.52,12.894285714285715,0.5325,11.2825,2309,1,14,13
103,line business,7.819999999999999,13.0375,2.9324999999999997,13.0375,3572,6,16,10
125,net realized,7.234999999999999,13.0375,2.713125,13.0375,2993,6,16,10
160,reinsurance,6.83,13.170833333333333,0.85375,9.878124999999999,12328,2,12,10
116,mortgage loan,7.383999999999999,13.086,2.3074999999999997,12.268125,7623,5,15,10
78,fixed maturity,8.52,13.176999999999998,0.5325,8.235624999999999,8753,1,10,9
124,net investment income,5.78,12.997,0.36125,8.123125,3177,1,10,9
153,property casualty,0.0,13.037777777777777,0.0,7.333749999999999,2458,0,9,9
148,policyholder,8.3,12.997,0.51875,8.123125,4694,1,10,9
110,loss ratio,8.51,12.960999999999999,0.531875,8.100624999999999,2764,1,10,9
128,nonaccrual,8.16,12.986666666666666,2.04,9.74,3165,4,12,8
111,loss reserve,7.71,12.905000000000001,2.89125,11.291875000000001,4486,6,14,8
97,item note,7.43,12.826666666666666,1.8575,9.62,2719,4,12,8
96,investment income,6.857142857142857,13.111333333333333,3.0,12.291875,6331,7,15,8
90,insurer,6.43,13.139285714285716,2.41125,11.496875000000001,3227,6,14,8
86,housing,7.942857142857142,12.928666666666665,3.4749999999999996,12.120624999999999,3903,7,15,8
27,capital ratio,8.03,12.97285714285714,3.0112499999999995,11.351249999999999,3680,6,14,8
133,nonperforming,8.043333333333333,13.091,1.508125,8.181875,2638,3,10,7
44,commercial mortgage,8.043333333333333,13.160999999999998,1.508125,8.225624999999999,2180,3,10,7
95,investment gain loss,7.088000000000001,13.344166666666666,2.2150000000000003,10.008125,2280,5,12,7
62,disability,6.922857142857142,12.844285714285716,3.0287499999999996,11.238750000000001,2224,7,14,7
65,embedded derivative,8.266666666666666,12.939999999999998,1.5499999999999998,8.087499999999999,2500,3,10,7
31,casualty,6.329999999999999,12.963,1.186875,8.101875,4408,3,10,7
89,insurance subsidiary,7.523333333333333,13.329999999999998,1.410625,8.331249999999999,2709,3,10,7
79,fixedmaturitiesmember,0.0,13.254285714285714,0.0,5.79875,2814,0,7,7
109,loss loss,6.697777777777778,13.0375,3.7675,13.0375,3301,9,16,7
13,allowance loan loss,8.038,13.189166666666663,2.511875,9.891874999999997,3532,5,12,7
152,private equity,7.07,13.111333333333333,3.535,12.291875,5477,8,15,7
150,prepayment,7.309999999999999,13.0375,4.1118749999999995,13.0375,3899,9,16,7
59,day past due,7.749999999999999,13.057692307692305,3.3906249999999996,10.609374999999998,2791,7,13,6
1,accident year,0.0,13.415000000000001,0.0,5.030625000000001,4123,0,6,6
98,james,7.59,12.874444444444443,1.423125,7.2418749999999985,2951,3,9,6
193,venture capital,7.040000000000001,13.32,0.8800000000000001,6.66,2752,2,8,6
58,day past,7.749999999999999,13.057692307692305,3.3906249999999996,10.609374999999998,3204,7,13,6
94,investment gain,6.732857142857143,13.263846153846153,2.945625,10.776874999999999,3193,7,13,6
105,loan loan,8.03,13.189166666666663,3.0112499999999995,9.891874999999997,2134,6,12,6
9,aig,6.901000000000001,13.0375,4.313125,13.0375,27505,10,16,6
