,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
112,inline xbrl taxonomy extension,0.17,2.39,0.15,0.72,146,9,3,6
16,cash equivalent restricted cash,0.13,2.13,0.09,0.21,164,7,1,6
69,effect result operation financial,0.14,2.42,0.13,0.97,159,9,4,5
83,federal home loan bank,0.24,2.36,0.07,1.89,144,3,8,5
155,price active market identical asset,0.09,2.35,0.03,1.65,127,3,7,4
90,financial consolidated financial statement,0.08,2.4,0.03,1.92,321,4,8,4
117,material adverse effect result operation,0.14,2.37,0.13,1.19,150,9,5,4
144,note note consolidated financial,0.31,2.5,0.06,1.5,375,2,6,4
5,adverse effect result operation financial,0.14,2.42,0.12,0.97,147,8,4,4
164,realized investment gain loss,0.0,2.51,0.0,1.0,129,0,4,4
181,see note note consolidated financial,0.57,2.48,0.06,1.24,211,1,5,4
180,see note note consolidated,0.57,2.48,0.06,1.24,223,1,5,4
4,adverse effect result operation,0.14,2.37,0.13,1.19,168,9,5,4
116,managements discussion analysis financial condition,0.14,2.42,0.08,0.73,181,6,3,3
81,fair value embedded derivative,0.05,2.51,0.0,1.0,147,1,4,3
102,first quarter compared period,0.07,2.35,0.01,1.18,148,2,5,3
115,managements discussion analysis financial,0.14,2.42,0.08,0.73,181,6,3,3
162,quarterly report quarter ended march,0.15,2.36,0.11,0.94,157,7,4,3
161,quarterly report quarter ended,0.15,2.36,0.11,0.94,249,7,4,3
168,reference exhibit quarterly report,0.13,2.52,0.06,0.5,135,5,2,3
123,million share common stock,0.18,2.47,0.14,1.24,179,8,5,3
125,million three month ended september,0.19,2.38,0.1,1.9,181,5,8,3
66,defined benefit pension plan,0.17,2.46,0.14,1.23,215,8,5,3
145,note note consolidated financial statement,0.57,2.5,0.06,1.0,286,1,4,3
0,accompanying note consolidated financial,0.12,2.31,0.02,1.15,138,2,5,3
199,year ended december filed,0.18,2.4,0.09,1.92,158,5,8,3
2,active market identical asset,0.1,2.35,0.04,1.65,131,4,7,3
94,financial corporationnotes consolidated financial,0.04,0.0,0.01,0.0,174,2,0,2
127,million year ended december compared,0.12,2.4,0.02,0.96,180,2,4,2
1,accounting principle generally accepted,0.17,2.35,0.14,1.41,132,8,6,2
128,month ended june compared,0.18,2.34,0.14,1.4,812,8,6,2
76,ended march compared period,0.18,2.41,0.09,0.72,164,5,3,2
172,restricted stock unit award,0.18,2.34,0.09,1.64,177,5,7,2
132,month ended march compared,0.18,2.34,0.14,1.4,495,8,6,2
170,report quarter ended march,0.15,2.35,0.11,1.18,161,7,5,2
74,ended june compared period,0.17,2.34,0.1,0.93,220,6,4,2
166,reference exhibit current report filed,0.15,2.42,0.06,0.48,297,4,2,2
182,six month compared period,0.11,2.38,0.01,0.71,159,1,3,2
165,reference exhibit current report,0.15,2.54,0.07,0.76,326,5,3,2
62,december compared year ended,0.12,2.54,0.08,1.02,142,6,4,2
63,december compared year ended december,0.12,2.54,0.08,1.02,142,6,4,2
154,price active market identical,0.11,2.35,0.05,1.65,148,5,7,2
163,quoted price active market,0.12,2.35,0.08,1.88,181,6,8,2
72,ended december compared year ended,0.12,2.54,0.08,1.02,142,6,4,2
139,note condensed consolidated financial,0.1,2.46,0.04,0.49,243,4,2,2
160,quarter first six month compared,0.05,2.38,0.0,0.71,154,1,3,2
3,adopted pursuant section act,0.13,2.44,0.05,1.46,126,4,6,2
71,ended december compared year,0.12,2.54,0.08,1.02,142,6,4,2
78,exhibit current report filed,0.15,2.42,0.06,0.48,297,4,2,2
106,group subsidiariesnotes consolidated financial,0.0,2.12,0.0,0.42,164,0,2,2
31,condensed consolidated financial amount,0.0,2.46,0.0,0.49,166,0,2,2
80,fair value cash flow,0.22,2.37,0.11,1.66,187,5,7,2
86,financial condensed consolidated financial,0.0,2.22,0.0,0.44,420,0,2,2
195,three month ended september compared,0.21,2.34,0.09,1.4,155,4,6,2
194,three month ended march compared,0.18,2.34,0.14,1.4,477,8,6,2
190,third party pricing vendor,0.0,2.28,0.0,0.46,154,0,2,2
183,six month ended june compared,0.18,2.34,0.14,1.4,470,8,6,2
122,million senior note due,0.1,2.39,0.04,1.43,174,4,6,2
104,first six month compared period,0.11,2.38,0.01,0.71,159,1,3,2
87,financial condensed consolidated financial statement,0.0,2.22,0.0,0.44,415,0,2,2
28,compared period primarily due,0.21,2.4,0.08,1.44,354,4,6,2
42,consolidated financial statement included,0.17,2.46,0.14,1.47,274,8,6,2
43,consolidated financial statement included part,0.33,2.8,0.1,0.28,135,3,1,2
44,consolidated statement comprehensive income,0.25,2.37,0.12,1.66,167,5,7,2
13,billion year ended december,0.18,2.42,0.15,1.45,189,8,6,2
30,compared year ended december,0.12,2.54,0.08,1.02,170,6,4,2
143,note consolidated financial statement included,0.28,2.62,0.11,0.78,146,4,3,1
141,note consolidated financial contained herein,0.0,2.67,0.0,0.27,167,0,1,1
142,note consolidated financial note,0.1,2.42,0.03,0.97,141,3,4,1
113,interim consolidated financial statement,0.05,2.35,0.01,0.7,190,2,3,1
131,month ended june primarily,0.17,2.34,0.1,1.64,168,6,7,1
140,note consolidated financial contained,0.0,2.67,0.0,0.27,175,0,1,1
137,net realized investment gain,0.57,2.74,0.06,0.55,305,1,2,1
136,net realized capital gain,0.0,2.11,0.0,0.21,263,0,1,1
