,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
118,measured fair value recurring basis,6.28,13.71,1.89,12.34,151,3,9,6
40,condensed consolidated financial statement,5.9,14.28,4.13,2.86,1080,7,2,5
131,month ended march compared,6.01,13.83,5.41,5.53,268,9,4,5
114,loss loss adjustment expense,0.0,13.65,0.0,6.82,217,0,5,5
99,increase allowance credit loss,6.39,13.73,1.28,9.61,128,2,7,5
162,reference exhibit current report,6.19,13.59,1.24,9.51,292,2,7,5
130,month ended june primarily,6.04,13.06,4.83,3.92,168,8,3,5
51,consolidated financial statement included,6.16,13.34,2.46,12.01,299,4,9,5
192,three month ended march compared,6.01,13.83,5.41,5.53,265,9,4,5
65,current expected credit loss,6.61,13.69,2.64,10.95,168,4,8,4
67,deferred policy acquisition cost,0.0,13.97,0.0,5.59,172,0,4,4
46,consolidated financial statement discussion,5.5,13.08,1.65,9.15,242,3,7,4
45,consolidated financial statement annual report,0.0,13.11,0.0,5.24,167,0,4,4
42,condensed consolidated statement income,5.99,14.28,3.6,2.86,152,6,2,4
115,material adverse effect financial condition,6.06,13.44,4.85,5.38,167,8,4,4
23,book value per common,0.0,14.28,0.0,5.71,146,0,4,4
41,condensed consolidated statement cash,5.93,14.28,3.56,2.86,124,6,2,4
80,fair value recurring basis,6.16,13.71,3.08,12.34,172,5,9,4
129,month ended june compared,6.01,14.01,5.41,7.0,349,9,5,4
132,month ended september compared,6.01,14.01,5.41,7.0,169,9,5,4
181,six month ended june compared,6.01,14.01,5.41,7.0,244,9,5,4
15,allowance credit loss loan,7.02,13.91,0.7,6.95,217,1,5,4
141,note condensed consolidated financial,5.92,14.28,3.55,2.86,854,6,2,4
179,senior unsecured note due,5.98,0.0,2.39,0.0,310,4,0,4
151,period ended june compared,0.0,13.44,0.0,5.38,139,0,4,4
164,reference exhibit quarterly report,6.05,13.78,1.81,8.27,191,3,6,3
44,consolidated financial statement annual,7.42,13.11,0.74,5.24,242,1,4,3
173,see note condensed consolidated financial,5.96,14.71,2.38,1.47,231,4,1,3
172,see note condensed consolidated,5.96,14.71,2.38,1.47,231,4,1,3
62,could cause actual result,5.92,13.65,2.96,10.92,148,5,8,3
165,restricted stock unit award,5.9,12.89,4.13,5.15,198,7,4,3
163,reference exhibit current report filed,6.19,14.02,1.24,7.01,262,2,5,3
74,effective income tax rate,6.01,13.57,3.0,10.86,202,5,8,3
138,net asset value per,5.77,13.88,1.15,6.94,125,2,5,3
98,impact foreign currency rate,6.29,0.0,1.89,0.0,183,3,0,3
111,liability measured fair value,6.36,13.69,3.18,10.95,203,5,8,3
113,loan day past due,7.02,13.85,0.7,5.54,168,1,4,3
143,note consolidated financial statement annual,7.42,13.11,0.74,5.24,236,1,4,3
142,note condensed consolidated financial statement,5.92,14.28,2.96,2.86,547,5,2,3
128,million three month ended september,6.04,13.31,4.83,6.65,129,8,5,3
100,increased three month ended,6.37,13.24,3.18,2.65,152,5,2,3
199,year ended december compared,5.9,14.04,4.13,5.62,127,7,4,3
39,condensed consolidated balance sheet,6.03,14.28,3.02,2.86,226,5,2,3
30,change fair value derivative,5.99,13.21,2.4,9.25,139,4,7,3
38,compared period prior year,6.57,14.71,2.63,1.47,156,4,1,3
21,asset liability measured fair,6.61,13.84,2.64,9.69,184,4,7,3
20,amount senior unsecured note due,5.5,0.0,1.65,0.0,170,3,0,3
22,asset liability measured fair value,6.61,13.84,2.64,9.69,175,4,7,3
19,amount senior unsecured note,5.5,0.0,1.65,0.0,175,3,0,3
3,adverse effect financial condition,6.06,13.7,4.85,6.85,193,8,5,3
87,financial statement fair value,5.93,13.71,0.59,4.11,131,1,3,2
161,reference exhibit annual report,5.88,13.8,2.35,8.28,168,4,6,2
125,million share common stock,6.11,13.47,4.28,6.73,133,7,5,2
168,second quarter first six,5.78,13.14,2.31,2.63,180,4,2,2
79,exhibit current report filed,6.1,14.02,1.83,7.01,297,3,5,2
153,private equity fund investment,0.0,14.41,0.0,2.88,139,0,2,2
169,second quarter first six month,5.78,13.14,2.31,2.63,177,4,2,2
76,ended june million million,6.36,13.51,3.18,9.45,132,5,7,2
155,quarter first six month,5.78,13.14,2.31,2.63,179,4,2,2
144,note consolidated financial statement included,6.29,12.95,1.89,6.48,211,3,5,2
95,foreign currency translation adjustment,5.94,12.9,4.75,7.74,173,8,6,2
28,cash equivalent restricted cash,6.5,13.98,2.6,2.8,137,4,2,2
5,adverse effect result operation,6.19,13.54,3.1,9.48,160,5,7,2
102,interim consolidated financial statement,6.21,13.82,0.62,4.15,198,1,3,2
107,item note consolidated financial,7.42,14.22,0.74,4.27,327,1,3,2
16,allowance expected credit loss,6.54,13.46,1.31,5.38,247,2,4,2
112,liability measured fair value recurring,6.36,13.84,3.18,9.69,149,5,7,2
117,material adverse effect result operation,6.19,13.54,3.1,9.48,143,5,7,2
127,million three month ended march,6.04,13.4,4.83,8.04,419,8,6,2
122,million million six month,6.2,13.31,4.34,6.65,138,7,5,2
73,effect result operation financial,6.19,14.0,3.1,9.8,139,5,7,2
126,million three month ended june,6.04,13.14,4.83,7.89,264,8,6,2
49,consolidated financial statement fair,5.93,13.71,0.59,4.11,131,1,3,2
178,see note significant accounting,0.0,14.88,0.0,2.98,167,0,2,2
195,venture capital private equity,0.0,14.88,0.0,2.98,259,0,2,2
2,accounting principle generally accepted,5.79,13.56,4.05,6.78,130,7,5,2
35,compared million three month,5.61,12.69,1.68,1.27,131,3,1,2
50,consolidated financial statement fair value,5.93,13.71,0.59,4.11,131,1,3,2
53,consolidated financial statement information,6.36,13.36,3.18,9.35,145,5,7,2
54,consolidated financial statement part,6.33,13.75,3.16,4.13,171,5,3,2
68,diluted earnings per share,6.15,13.09,4.92,7.86,192,8,6,2
36,compared million three month ended,5.61,12.69,1.68,1.27,131,3,1,2
12,aig item note consolidated financial,0.0,14.71,0.0,1.47,185,0,1,1
194,union companynotes condensed consolidated financial,5.93,0.0,0.59,0.0,139,1,0,1
13,aig second quarter item,0.0,14.71,0.0,1.47,219,0,1,1
14,aig third quarter item,0.0,14.71,0.0,1.47,129,0,1,1
193,union companynotes condensed consolidated,5.93,0.0,0.59,0.0,139,1,0,1
140,net realized capital gain,0.0,14.71,0.0,1.47,217,0,1,1
6,adverse effect result operation financial,6.19,13.72,3.1,8.23,137,5,6,1
134,morgan stanley capital international,5.39,0.0,0.54,0.0,187,1,0,1
137,msci morgan stanley capital international,5.39,0.0,0.54,0.0,171,1,0,1
136,msci morgan stanley capital,5.39,0.0,0.54,0.0,173,1,0,1
135,morgan stanley capital international blackrock,5.39,0.0,0.54,0.0,171,1,0,1
17,amendment index license agreement,5.39,0.0,0.54,0.0,189,1,0,1
18,amendment index license agreement dated,5.39,0.0,0.54,0.0,187,1,0,1
196,venture capital private equity fund,0.0,14.11,0.0,1.41,145,0,1,1
197,western union companynotes condensed,5.93,0.0,0.59,0.0,145,1,0,1
198,western union companynotes condensed consolidated,5.93,0.0,0.59,0.0,139,1,0,1
145,note note consolidated financial,5.65,13.62,1.7,5.45,372,3,4,1
147,number share per share,0.0,12.69,0.0,1.27,158,0,1,1
174,see note consolidated financial,5.96,13.37,3.58,9.36,886,6,7,1
148,part item risk factor,5.79,13.44,1.74,5.38,144,3,4,1
171,second quarter item note condensed,0.0,14.71,0.0,1.47,136,0,1,1
