,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
29,commercial real estate loan,0.0,14.25,0.0,12.83,450,0,9,9
58,current expected credit loss,6.89,14.12,1.53,14.12,210,2,10,8
69,federal home loan bank,5.22,14.12,1.16,14.12,164,2,10,8
102,loan day past due,7.01,14.25,0.78,12.83,280,1,9,8
173,significant unobservable input used,0.0,13.97,0.0,9.78,223,0,7,7
89,interest income interest expense,5.41,14.26,0.6,11.41,173,1,8,7
25,change allowance credit loss,5.29,14.12,1.76,14.12,140,3,10,7
3,allowance credit loss loan,7.01,13.97,0.78,9.78,234,1,7,6
155,residential real estate loan,0.0,14.17,0.0,8.5,415,0,6,6
23,billion three month ended,6.39,13.89,2.13,12.5,176,3,9,6
13,asset measured fair value,4.0,14.34,0.89,11.47,154,2,8,6
95,legally enforceable master netting,0.0,13.87,0.0,8.32,156,0,6,6
87,increase allowance credit loss,5.44,14.23,1.81,12.8,192,3,9,6
90,interest rate risk management,6.44,14.15,1.43,9.9,161,2,7,5
107,measured fair value recurring basis,4.92,14.34,1.64,11.47,152,3,8,5
109,million aggregate principal amount,5.55,12.94,3.7,1.29,250,6,1,5
22,billion march billion december,4.56,14.31,0.51,8.58,158,1,6,5
21,billion june billion december,4.56,14.31,0.51,8.58,150,1,6,5
105,measured fair value nonrecurring,7.01,14.78,0.78,8.87,138,1,6,5
30,commercial real estate residential,0.0,14.28,0.0,7.14,165,0,5,5
153,reference exhibit current report,4.56,14.63,0.51,8.78,221,1,6,5
2,aggregate principal amount senior,5.51,12.94,3.67,1.29,235,6,1,5
67,fair value fair value,5.22,13.93,2.32,12.53,321,4,9,5
60,diluted earnings per common,6.11,13.96,2.04,11.17,181,3,8,5
76,financial statement part item,5.66,13.68,1.26,8.21,148,2,6,4
96,level fair value hierarchy,5.55,14.17,1.85,9.92,154,3,7,4
104,material impact consolidated financial,6.14,14.02,2.73,11.22,151,4,8,4
64,estimate expected credit loss,5.44,14.19,1.81,9.93,185,3,7,4
7,amortized cost fair value,5.55,14.1,1.85,9.87,146,3,7,4
100,liability measured fair value recurring,5.44,14.34,2.42,11.47,163,4,8,4
11,asset liability measured fair,6.06,14.34,2.69,11.47,206,4,8,4
12,asset liability measured fair value,6.06,14.34,2.69,11.47,206,4,8,4
110,million aggregate principal amount senior,5.26,12.94,2.92,1.29,183,5,1,4
111,million december million december,4.98,13.72,1.11,8.23,169,2,6,4
154,reference exhibit current report filed,4.56,14.29,0.51,7.14,169,1,5,4
168,senior unsecured note due,5.65,0.0,2.51,0.0,310,4,0,4
175,six month ended june compared,5.73,13.95,5.09,6.97,328,8,5,3
141,principal amount senior note,5.49,12.97,3.66,3.89,141,6,3,3
164,see note consolidated financial statement,5.53,13.09,3.07,2.62,396,5,2,3
63,earnings per common share,5.9,13.96,3.28,11.17,294,5,8,3
65,exhibit current report filed,5.79,14.29,1.29,7.14,204,2,5,3
128,nine month ended september compared,5.73,13.95,5.09,6.97,164,8,5,3
129,note condensed consolidated financial,5.71,12.94,2.54,1.29,696,4,1,3
118,month ended september compared,5.73,13.95,5.09,6.97,245,8,5,3
99,liability measured fair value,5.76,14.34,3.2,11.47,254,5,8,3
101,loan accounted fair value,0.0,14.44,0.0,4.33,264,0,3,3
187,three month ended june compared,5.55,14.08,4.31,5.63,155,7,4,3
103,loss reserve unfunded lending,0.0,13.44,0.0,4.03,144,0,3,3
56,could material adverse effect financial,6.07,13.17,5.4,6.58,170,8,5,3
106,measured fair value recurring,5.6,14.34,3.11,11.47,253,5,8,3
199,year ended december million,5.58,13.86,4.34,5.54,147,7,4,3
19,billion billion march december,5.61,14.61,2.49,10.23,172,4,7,3
10,amount senior unsecured note due,5.28,0.0,1.76,0.0,170,3,0,3
43,consolidated financial statement part,5.66,13.74,1.26,6.87,146,2,5,3
4,allowance loan lease loss,0.0,13.44,0.0,4.03,225,0,3,3
36,condensed consolidated statement income,5.94,12.94,2.64,1.29,144,4,1,3
42,consolidated financial statement note,5.47,14.55,4.25,5.82,192,7,4,3
20,billion december billion december,5.38,13.29,1.2,6.64,189,2,5,3
26,change fair value derivative,5.91,14.34,3.28,11.47,144,5,8,3
34,condensed consolidated financial statement,5.71,12.94,2.54,1.29,902,4,1,3
9,amount senior unsecured note,5.28,0.0,1.76,0.0,175,3,0,3
44,consolidated financial statement part item,5.66,13.74,1.26,6.87,146,2,5,3
86,impact foreign currency rate,6.08,0.0,1.35,0.0,155,2,0,2
68,fair value option elected,7.01,15.08,0.78,4.53,243,1,3,2
152,reference exhibit annual report,5.4,14.87,1.8,7.43,200,3,5,2
78,first six month compared,5.17,14.24,2.87,4.27,230,5,3,2
149,real estate loan held,0.0,13.23,0.0,2.65,157,0,2,2
8,amount revised conform current,0.0,16.25,0.0,3.25,379,0,2,2
130,note condensed consolidated financial statement,5.28,12.94,1.76,1.29,573,3,1,2
66,fair value asset liability,6.24,14.12,3.47,9.88,166,5,7,2
62,district court southern district new,6.14,14.71,2.73,8.82,195,4,6,2
18,billion billion june december,5.89,14.61,3.27,10.23,182,5,7,2
195,venture capital private equity,0.0,14.54,0.0,2.91,259,0,2,2
57,court southern district new,6.14,14.71,2.73,8.82,195,4,6,2
48,contentsnotes consolidated financial statement,0.0,14.49,0.0,2.9,144,0,2,2
61,district court southern district,6.14,14.71,2.73,8.82,214,4,6,2
165,see note significant accounting,0.0,14.54,0.0,2.91,167,0,2,2
45,consolidated statement income comprehensive,0.0,14.54,0.0,2.91,140,0,2,2
139,one financial corporationnotes consolidated financial,0.0,13.46,0.0,1.35,173,0,1,1
157,sachs subsidiary note consolidated,0.0,13.05,0.0,1.31,631,0,1,1
135,note summary significant accounting principle,0.0,13.93,0.0,1.39,182,0,1,1
162,second quarter first six month,5.54,14.66,1.85,2.93,223,3,2,1
143,purchase sale settlement transfer level,0.0,13.05,0.0,1.31,139,0,1,1
136,one financial corporation contentscapital,0.0,13.46,0.0,1.35,224,0,1,1
161,second quarter first six,5.54,14.66,1.85,2.93,223,3,2,1
160,second quarter first half,3.44,14.6,0.38,2.92,148,1,2,1
159,sale settlement transfer level,0.0,13.05,0.0,1.31,139,0,1,1
158,sachs subsidiary note consolidated financial,0.0,13.05,0.0,1.31,631,0,1,1
156,sachs subsidiary discussion analysis,0.0,13.05,0.0,1.31,423,0,1,1
140,primarily reflected transfer certain,0.0,13.05,0.0,1.31,143,0,1,1
145,quantitative qualitative disclosure market risk,5.78,13.58,5.78,10.87,142,9,8,1
137,one financial corporation contentscapital one,0.0,13.46,0.0,1.35,218,0,1,1
16,beginning balance net realized,0.0,13.05,0.0,1.31,188,0,1,1
14,balance net realized net,0.0,13.05,0.0,1.31,188,0,1,1
15,balance net realized net unrealized,0.0,13.05,0.0,1.31,188,0,1,1
148,quarterly report quarter ended,5.37,14.14,3.58,9.9,217,6,7,1
151,realized net unrealized purchase sale,0.0,13.05,0.0,1.31,140,0,1,1
150,realized net unrealized purchase,0.0,13.05,0.0,1.31,149,0,1,1
138,one financial corporationnotes consolidated,0.0,13.46,0.0,1.35,173,0,1,1
51,contentssvb financial group subsidiariesnotes consolidated,0.0,12.92,0.0,1.29,162,0,1,1
166,see note summary significant,0.0,13.93,0.0,1.39,221,0,1,1
183,summary significant accounting principle consolidated,0.0,13.93,0.0,1.39,142,0,1,1
198,western union companynotes condensed consolidated,7.02,0.0,0.78,0.0,139,1,0,1
197,western union companynotes condensed,7.02,0.0,0.78,0.0,145,1,0,1
196,venture capital private equity fund,0.0,12.92,0.0,1.29,145,0,1,1
194,unrealized purchase sale settlement transfer,0.0,13.05,0.0,1.31,139,0,1,1
193,unrealized purchase sale settlement,0.0,13.05,0.0,1.31,140,0,1,1
192,union companynotes condensed consolidated financial,7.02,0.0,0.78,0.0,139,1,0,1
191,union companynotes condensed consolidated,7.02,0.0,0.78,0.0,139,1,0,1
190,transfer level transfer level ending,0.0,13.05,0.0,1.31,161,0,1,1
189,transfer level transfer level,0.0,13.05,0.0,1.31,161,0,1,1
188,transfer level ending balance,0.0,13.05,0.0,1.31,180,0,1,1
186,three month ended december,5.7,13.76,3.17,8.26,184,5,6,1
185,third quarter first nine month,4.74,14.72,1.58,5.89,150,3,4,1
184,third quarter first nine,4.74,14.72,1.58,5.89,150,3,4,1
182,summary significant accounting principle,0.0,13.93,0.0,1.39,185,0,1,1
167,see note summary significant accounting,0.0,13.93,0.0,1.39,220,0,1,1
181,subsidiary note consolidated financial statement,3.44,13.0,0.38,2.6,633,1,2,1
180,subsidiary note consolidated financial,3.44,13.0,0.38,2.6,695,1,2,1
