,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
0,accompanying note consolidated financial,0.0,6.42,0.0,5.14,125,0,4,4
165,see accompanying note consolidated financial,0.0,6.42,0.0,5.14,98,0,4,4
164,see accompanying note consolidated,0.0,6.42,0.0,5.14,98,0,4,4
97,loss attributable noncontrolling interest,2.6,0.0,2.08,0.0,95,4,0,4
13,bank new york mellon trust,2.94,6.24,0.59,4.99,118,1,4,3
198,yes indicate check mark,2.33,7.93,2.33,3.17,103,5,2,3
129,note consolidated financial statement included,0.0,5.32,0.0,3.19,200,0,3,3
127,note condensed consolidated financial statement,0.0,5.52,0.0,3.31,204,0,3,3
126,note condensed consolidated financial,0.0,5.52,0.0,3.31,330,0,3,3
119,new york mellon trust,2.94,6.24,0.59,4.99,118,1,4,3
118,net income per share,2.16,0.0,1.3,0.0,81,3,0,3
26,condensed consolidated financial statement included,0.0,5.52,0.0,3.31,91,0,3,3
23,condensed consolidated balance sheet,0.0,5.52,0.0,3.31,93,0,3,3
199,yes indicate check mark whether,2.33,7.93,2.33,3.17,92,5,2,3
12,bank new york mellon,2.94,6.24,0.59,4.99,130,1,4,3
14,cash cash equivalent restricted cash,2.01,6.42,0.8,5.14,101,2,4,2
184,statement operation comprehensive income,2.94,5.05,0.59,3.03,144,1,3,2
60,ffo available common share,2.6,0.0,1.04,0.0,117,2,0,2
136,note note consolidated financial,2.23,5.68,1.78,2.27,310,4,2,2
134,note integral part consolidated,1.99,5.32,1.2,1.06,154,3,1,2
79,income attributable noncontrolling interest,2.6,5.32,2.08,2.13,100,4,2,2
4,aggregate principal amount senior unsecured,0.0,5.62,0.0,2.25,120,0,2,2
166,see note condensed consolidated,0.0,5.62,0.0,2.25,103,0,2,2
167,see note condensed consolidated financial,0.0,5.62,0.0,2.25,103,0,2,2
41,consolidated statement operation comprehensive income,2.94,5.05,0.59,3.03,119,1,3,2
173,senior unsecured note due,2.75,5.28,0.55,3.17,122,1,3,2
35,consolidated financial statement information,2.15,5.21,1.29,1.04,134,3,1,2
40,consolidated statement operation comprehensive,2.94,5.05,0.59,3.03,159,1,3,2
194,weighted average common share,2.6,7.93,2.08,3.17,98,4,2,2
96,interest rate swap agreement,2.18,5.68,1.75,2.27,158,4,2,2
2,accompanying note integral part consolidated,1.99,5.32,1.2,1.06,154,3,1,2
15,cash equivalent restricted cash,2.1,6.2,1.26,6.2,228,3,5,2
1,accompanying note integral part,1.99,5.32,1.2,1.06,185,3,1,2
21,compared three month ended march,1.27,5.52,0.25,3.31,83,1,3,2
98,million aggregate principal amount,1.27,5.52,0.25,3.31,127,1,3,2
142,principal amount senior unsecured,0.0,5.62,0.0,2.25,120,0,2,2
9,available common share unit unit,2.94,0.0,0.59,0.0,101,1,0,1
8,available common share unit,2.94,0.0,0.59,0.0,144,1,0,1
140,per share summary significant,0.0,5.32,0.0,1.06,113,0,1,1
139,partner partnership filed sec,0.0,4.61,0.0,0.92,100,0,1,1
138,operation year ended december,2.32,5.29,1.39,4.23,88,3,4,1
137,note note consolidated financial statement,2.22,5.68,1.33,2.27,306,3,2,1
114,net income available maa,0.0,6.03,0.0,1.21,114,0,1,1
106,month ended june primarily,2.35,5.32,1.88,3.19,79,4,3,1
135,note integral part consolidated financial,1.86,5.32,0.74,1.06,126,2,1,1
110,mountain incorporatednotes consolidated financial statement,0.0,5.32,0.0,1.06,129,0,1,1
133,note due reference exhibit current,2.44,0.0,0.49,0.0,96,1,0,1
132,note due reference exhibit,2.44,0.0,0.49,0.0,160,1,0,1
130,note consolidated financial statement information,2.6,5.21,1.04,1.04,102,2,1,1
5,amended restated agreement limited,2.71,5.32,1.63,2.13,118,3,2,1
6,amended restated agreement limited partnership,2.71,5.32,1.63,2.13,87,3,2,1
115,net income available maa common,0.0,6.03,0.0,1.21,114,0,1,1
