,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
126,partially owned,0.0,6.0,0.0,6.0,337,0,4,4
5,aggregate principal,4.06,6.1,4.06,1.52,249,5,1,4
6,aggregate principal amount,4.06,6.1,4.06,1.52,208,5,1,4
163,share cash,4.4,6.0,0.88,6.0,232,1,4,3
89,incorporated reference exhibit,3.97,6.12,3.17,1.53,192,4,1,3
191,unsecured senior,0.0,5.96,0.0,4.47,788,0,3,3
150,redevelopment project,4.43,6.0,0.89,6.0,218,1,4,3
20,cash basis,4.43,6.0,0.89,6.0,243,1,4,3
41,cumulative redeemable,4.23,6.0,0.85,6.0,174,1,4,3
40,convertible preferred,0.0,6.04,0.0,4.53,176,0,3,3
172,taxonomy extension,3.98,5.88,3.18,1.47,175,4,1,3
46,development redevelopment project,4.43,5.96,0.89,4.47,194,1,3,2
45,development property,4.08,6.0,3.26,3.0,178,4,2,2
141,realty consolidated,0.0,6.11,0.0,3.06,206,0,2,2
159,senior housing,4.42,0.0,1.77,0.0,634,2,0,2
148,realty trust,0.0,6.11,0.0,3.06,400,0,2,2
61,equivalent restricted,4.02,6.11,3.21,3.06,205,4,2,2
63,estate joint,4.4,5.97,0.88,4.48,639,1,3,2
145,realty realty,0.0,6.11,0.0,3.06,382,0,2,2
144,realty filed,0.0,6.11,0.0,3.06,187,0,2,2
100,ltip unit,4.23,6.03,0.85,4.53,410,1,3,2
139,real estate joint,4.4,5.97,0.88,4.48,632,1,3,2
140,realty common,0.0,6.11,0.0,3.06,205,0,2,2
71,fifth avenue,0.0,6.0,0.0,3.0,252,0,2,2
170,stock repurchase,3.97,5.89,3.17,2.94,184,4,2,2
74,financial statement item,3.97,6.01,3.17,3.0,189,4,2,2
75,foreign currency translation,3.98,6.0,3.18,3.0,275,4,2,2
79,fund operation,4.32,6.0,1.73,6.0,197,2,4,2
134,preferred unit,4.23,6.03,0.85,4.53,250,1,3,2
129,per diluted,4.0,6.03,0.8,4.53,250,1,3,2
87,income rental,0.0,6.0,0.0,3.0,186,0,2,2
123,operation comprehensive,0.0,5.89,0.0,2.94,170,0,2,2
121,operating partnership,4.23,6.03,0.85,4.53,1789,1,3,2
95,lease accounting,4.08,6.0,3.26,3.0,257,4,2,2
112,net operating income,4.27,6.01,3.41,3.0,392,4,2,2
106,million square foot,4.23,6.03,0.85,4.53,309,1,3,2
