,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
50,consolidated statement comprehensive income,2.7,6.17,1.08,6.17,142,2,5,3
48,consolidated financial statement set forth,2.77,0.0,1.66,0.0,86,3,0,3
33,compared year ended december,2.48,6.21,0.5,4.97,101,1,4,3
79,financial statement set forth,2.77,0.0,1.66,0.0,86,3,0,3
46,consolidated financial statement item,2.7,6.17,1.08,6.17,172,2,5,3
47,consolidated financial statement set,2.77,0.0,1.66,0.0,86,3,0,3
171,see note consolidated financial,2.92,6.14,0.58,4.91,126,1,4,3
187,summary significant accounting policy,2.89,6.29,0.58,5.03,73,1,4,3
109,measured fair value recurring,2.68,6.17,1.07,6.17,78,2,5,3
49,consolidated real estate joint,0.0,6.7,0.0,2.68,85,0,2,2
140,note consolidated financial statement set,2.7,0.0,1.08,0.0,75,2,0,2
149,officer pursuant section act,2.92,6.39,0.58,3.84,97,1,3,2
55,diluted earnings per common,0.0,6.46,0.0,2.58,96,0,2,2
56,dollar except per share,2.92,0.0,1.17,0.0,131,2,0,2
71,fair value le cost,2.7,6.21,1.08,4.97,72,2,4,2
40,condensed consolidated statement operation,2.92,6.19,0.58,3.72,117,1,3,2
39,condensed consolidated statement comprehensive,2.92,6.19,0.58,3.72,90,1,3,2
58,earnings per common share,2.92,6.39,0.58,3.84,135,1,3,2
59,earnings per common unit,0.0,6.46,0.0,2.58,109,0,2,2
164,revenue three month ended,2.7,6.26,1.08,5.01,87,2,4,2
30,compared six month ended,2.7,6.26,1.08,5.01,75,2,4,2
80,financial statement set forth item,2.7,0.0,1.08,0.0,78,2,0,2
24,cash equivalent restricted cash,2.72,6.46,2.17,2.58,171,4,2,2
31,compared six month ended june,2.7,6.26,1.08,5.01,75,2,4,2
22,cash cash equivalent restricted,2.8,6.46,2.24,2.58,238,4,2,2
192,unconsolidated real estate joint venture,0.0,6.7,0.0,2.68,172,0,2,2
184,statement set forth item,2.7,0.0,1.08,0.0,78,2,0,2
190,unconsolidated real estate entity,2.74,0.0,1.09,0.0,166,2,0,2
191,unconsolidated real estate joint,0.0,6.7,0.0,2.68,415,0,2,2
98,increased three month ended,2.65,5.67,1.59,1.13,91,3,1,2
141,note due senior note,2.7,5.67,1.08,1.13,87,2,1,1
106,investment publicly traded company,0.0,6.27,0.0,1.25,82,0,1,1
107,investment unconsolidated real estate,2.74,6.27,1.09,1.25,73,2,1,1
121,month ended june increase,2.65,6.26,1.59,5.01,102,3,4,1
139,note condensed consolidated financial statement,2.92,6.19,1.17,3.72,213,2,3,1
138,note condensed consolidated financial,2.92,6.19,1.17,3.72,431,2,3,1
137,noncontrolling interest partially owned property,2.89,0.0,0.58,0.0,98,1,0,1
105,investment privately held entity report,0.0,6.27,0.0,1.25,210,0,1,1
108,june compared prior year,2.9,5.98,1.16,1.2,77,2,1,1
111,million aggregate principal amount senior,2.65,6.4,1.59,2.56,143,3,2,1
142,note due senior note due,2.7,5.67,1.08,1.13,87,2,1,1
136,noncontrolling interest partially owned,2.89,0.0,0.58,0.0,100,1,0,1
112,million net rentable square,2.55,0.0,0.51,0.0,163,1,0,1
134,noncontrolling interest operating partner capital,2.89,0.0,0.58,0.0,84,1,0,1
132,noncontrolling interest operating limited,2.89,0.0,0.58,0.0,77,1,0,1
131,new york stock share representing,2.55,0.0,0.51,0.0,83,1,0,1
123,net income attributable ccic,2.92,0.0,0.58,0.0,78,1,0,1
124,net income available maa,0.0,7.12,0.0,1.42,114,0,1,1
125,net income available maa common,0.0,7.12,0.0,1.42,114,0,1,1
120,month ended june compared prior,2.9,5.98,1.16,1.2,119,2,1,1
118,million unsecured senior note,2.55,6.12,0.51,2.45,118,1,2,1
144,note integral part consolidated financial,2.48,6.12,0.5,2.45,132,1,2,1
117,million three month ended march,2.65,6.26,1.59,5.01,187,3,4,1
116,million three month ended june,2.65,6.26,1.59,5.01,104,3,4,1
115,million three month ended,2.65,6.26,1.59,5.01,344,3,4,1
127,net rentable square foot,2.55,0.0,0.51,0.0,111,1,0,1
128,new ibx data center,0.0,5.67,0.0,1.13,94,0,1,1
129,new york mellon trust,2.9,6.27,1.16,1.25,80,2,1,1
130,new york stock share,2.55,0.0,0.51,0.0,83,1,0,1
114,million secured tower revenue series,0.0,5.98,0.0,1.2,72,0,1,1
113,million net rentable square foot,2.55,0.0,0.51,0.0,88,1,0,1
143,note integral part consolidated,2.48,6.12,0.5,2.45,132,1,2,1
0,accompanying note condensed consolidated,2.92,6.4,0.58,2.56,85,1,2,1
145,note note consolidated financial,2.68,6.19,1.07,3.72,150,2,3,1
182,statement dollar except per share,2.92,0.0,0.58,0.0,82,1,0,1
170,see note condensed consolidated financial,2.92,6.46,0.58,2.58,153,1,2,1
174,senior note due senior,2.7,5.67,1.08,1.13,87,2,1,1
175,senior note due senior note,2.7,5.67,1.08,1.13,87,2,1,1
177,series convertible preferred stock,0.0,6.27,0.0,1.25,88,0,1,1
179,share representing cum pref,2.55,0.0,0.51,0.0,90,1,0,1
180,share representing cum pref series,2.55,0.0,0.51,0.0,90,1,0,1
181,statement dollar except per,2.92,0.0,0.58,0.0,82,1,0,1
183,statement operation comprehensive income,2.9,5.79,1.16,1.16,113,2,1,1
147,note unconsolidated real estate,0.0,6.27,0.0,1.25,73,0,1,1
185,stock share representing cum,2.55,0.0,0.51,0.0,83,1,0,1
186,stock share representing cum pref,2.55,0.0,0.51,0.0,83,1,0,1
189,unaudited consolidated financial statement item,0.0,6.27,0.0,1.25,89,0,1,1
