,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
41,consolidated financial statement additional,4.71,8.46,3.3,0.85,96,7,1,6
9,adverse effect financial condition,4.73,8.21,0.47,4.92,128,1,6,5
10,adverse effect financial condition result,0.0,8.16,0.0,4.08,95,0,5,5
189,three month ended june,4.27,8.26,1.28,6.6,494,3,8,5
102,material adverse effect financial condition,4.73,8.21,0.47,4.92,120,1,6,5
190,three month ended march,4.39,8.26,1.76,6.6,824,4,8,4
198,unaudited condensed consolidated financial,4.65,8.18,3.72,3.27,306,8,4,4
117,net income per common share,0.0,8.2,0.0,3.28,114,0,4,4
116,net income per common,0.0,8.2,0.0,3.28,184,0,4,4
111,month ended july compared,4.6,8.5,2.3,0.85,108,5,1,4
199,unaudited condensed consolidated financial statement,4.65,8.18,3.72,3.27,195,8,4,4
147,pursuant section adopted pursuant,4.63,8.15,1.85,6.52,133,4,8,4
101,material adverse effect financial,4.7,8.15,1.88,6.52,307,4,8,4
97,income per common share,0.0,8.2,0.0,3.28,126,0,4,4
68,effect financial condition result,4.77,8.05,0.95,4.83,111,2,6,4
65,diluted net income per share,4.5,8.04,3.15,2.41,217,7,3,4
58,could materially adversely affect financial,4.25,8.25,0.42,4.12,135,1,5,4
188,three month ended july,4.6,8.5,2.3,0.85,173,5,1,4
131,note note consolidated financial,4.61,8.33,3.23,2.5,176,7,3,4
148,pursuant section adopted pursuant section,4.63,8.15,1.85,6.52,133,4,8,4
184,three month ended april,4.6,8.5,2.3,0.85,408,5,1,4
165,section adopted pursuant section act,4.63,8.15,1.85,6.52,133,4,8,4
164,section adopted pursuant section,4.63,8.15,1.85,6.52,133,4,8,4
8,adopted pursuant section act,4.63,8.15,1.85,6.52,203,4,8,4
161,revenue three month ended,4.62,8.46,3.24,2.54,90,7,3,4
56,could material adverse effect result,4.85,8.25,1.45,5.78,119,3,7,4
185,three month ended december,4.8,8.37,1.44,5.86,273,3,7,4
118,net income per share,4.47,8.13,3.57,4.06,349,8,5,3
55,could material adverse effect financial,4.7,8.25,1.88,5.78,185,4,7,3
173,six month ended july,4.62,0.0,1.39,0.0,367,3,0,3
167,see note condensed consolidated financial,4.7,8.17,2.35,1.63,97,5,2,3
166,see note condensed consolidated,4.7,8.17,2.35,1.63,97,5,2,3
132,note note consolidated financial statement,4.67,8.33,2.8,2.5,105,6,3,3
181,third quarter first nine month,4.94,8.13,0.99,4.07,148,2,5,3
95,including chief executive officer,4.69,8.2,3.28,3.28,92,7,4,3
96,including chief executive officer chief,4.69,8.2,3.28,3.28,91,7,4,3
163,second quarter first six month,4.94,8.13,0.99,4.07,195,2,5,3
187,three month ended january,4.69,8.5,1.87,0.85,120,4,1,3
104,material adverse effect result,4.82,8.25,1.93,5.78,212,4,7,3
149,quarter first nine month,4.94,8.13,0.99,4.07,149,2,5,3
194,three six month ended july,4.62,0.0,1.39,0.0,175,3,0,3
109,month ended april compared,4.51,8.5,1.8,0.85,94,4,1,3
162,second quarter first six,4.94,8.13,0.99,4.07,195,2,5,3
151,quarter first six month,4.94,8.13,0.99,4.07,199,2,5,3
107,million aggregate principal amount,4.53,8.05,2.72,2.41,139,6,3,3
180,third quarter first nine,4.94,8.13,0.99,4.07,148,2,5,3
42,consolidated financial statement information,4.72,8.25,2.36,1.65,133,5,2,3
24,annual report year ended,4.38,8.25,3.07,3.3,132,7,4,3
124,nine month ended october,4.56,0.0,0.91,0.0,153,2,0,2
80,financial result operation cash,4.65,8.11,2.32,5.68,158,5,7,2
72,except per share unless otherwise,4.16,0.0,0.83,0.0,124,2,0,2
160,result financial condition cash,4.95,8.13,0.5,2.44,100,1,3,2
30,compared period fiscal primarily,4.56,0.0,0.91,0.0,136,2,0,2
76,financial condition result operation could,4.1,8.24,1.23,4.12,99,3,5,2
157,restricted stock unit award,4.47,8.06,3.13,4.03,111,7,5,2
156,repurchased million share common stock,4.16,8.11,0.83,3.24,98,2,4,2
155,repurchased million share common,4.16,8.11,0.83,3.24,98,2,4,2
82,financial statement accompanying note,4.72,8.11,2.83,3.24,108,6,4,2
12,adverse effect financial result operation,4.64,8.04,1.39,4.02,145,3,5,2
106,materially adversely affect financial,4.55,8.25,1.36,4.12,179,3,5,2
126,note condensed consolidated financial statement,4.72,8.39,2.83,3.36,403,6,4,2
33,condensed consolidated financial statement information,4.68,8.25,1.87,1.65,92,4,2,2
103,material adverse effect financial result,4.7,8.12,1.88,4.87,145,4,6,2
89,fiscal year ended january,4.62,7.8,1.39,0.78,223,3,1,2
91,fiscal year ended september,4.93,8.59,0.49,2.58,120,1,3,2
92,foreign currency forward contract,4.62,8.22,2.77,3.29,167,6,4,2
35,condition result operation could,4.1,8.24,1.23,4.12,99,3,5,2
70,effective income tax rate,4.25,8.29,1.27,4.14,106,3,5,2
71,except per share unless,4.16,0.0,0.83,0.0,124,2,0,2
11,adverse effect financial result,4.7,8.12,1.88,4.87,174,4,6,2
112,month ended june compared,4.27,8.18,1.28,4.09,168,3,5,2
122,nine month ended june,4.93,8.59,0.49,2.58,149,1,3,2
120,nine month ended december,4.95,8.13,0.5,2.44,269,1,3,2
175,six month ended march,4.93,8.59,0.49,2.58,149,1,3,2
