,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
55,ended june compared,3.4,13.24,0.97,13.24,251,2,7,5
57,ended october,3.28,0.0,2.34,0.0,200,5,0,5
90,june compared,3.4,13.24,0.97,13.24,265,2,7,5
162,senior vice,3.32,13.34,3.32,3.81,183,7,2,5
111,month period,0.0,12.63,0.0,7.22,461,0,4,4
72,fiscal compared,3.15,0.0,1.8,0.0,177,4,0,4
94,march compared,3.43,13.24,1.47,13.24,180,3,7,4
137,period ended june,3.43,13.24,1.47,13.24,185,3,7,4
174,statement operation,3.25,14.92,2.78,4.26,238,6,2,4
106,month ended june,3.43,13.24,1.47,13.24,1394,3,7,4
176,support service,2.98,12.59,0.85,10.79,216,2,6,4
186,three month ended june,3.43,13.24,1.47,13.24,405,3,7,4
42,deferred revenue,3.16,13.24,1.35,13.24,496,3,7,4
73,fiscal primarily,3.45,0.0,1.48,0.0,174,3,0,3
107,month ended june compared,3.4,13.47,0.97,9.62,212,2,5,3
87,integrated circuit,3.24,11.64,2.31,3.32,501,5,2,3
69,first quarter fiscal,3.32,14.11,2.85,6.05,414,6,3,3
89,interest rate swap,3.24,14.13,2.31,4.04,408,5,2,3
91,june june,3.6,13.58,1.54,11.64,192,3,6,3
54,ended june,3.52,13.24,2.01,13.24,1651,4,7,3
96,may future,3.49,13.24,1.99,13.24,213,4,7,3
99,million aggregate principal,3.41,13.36,1.46,11.45,231,3,6,3
101,million three month ended march,3.43,13.32,1.47,11.42,194,3,6,3
104,month ended january,3.06,0.0,1.31,0.0,463,3,0,3
75,flow hedge,3.25,13.66,2.78,5.85,194,6,3,3
0,accompanying note,3.1,13.24,1.77,13.24,349,4,7,3
108,month ended march,3.52,13.24,2.01,13.24,1086,4,7,3
169,six month period,0.0,12.6,0.0,5.4,183,0,3,3
194,unrealized loss,3.25,12.45,2.78,5.33,244,6,3,3
189,three month period,0.0,13.13,0.0,5.63,186,0,3,3
188,three month ended september,3.4,13.49,0.97,9.63,203,2,5,3
