,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
157,partially offset million increase,9.88,18.91,1.41,16.21,177,1,6,5
165,primarily due million increase,0.0,19.12,0.0,13.66,215,0,5,5
2,accompanying note integral part,8.84,0.0,6.31,0.0,457,5,0,5
132,month ended march compared period,8.72,17.69,7.47,2.53,255,6,1,5
65,ended march compared period,8.72,17.69,7.47,2.53,263,6,1,5
111,increase partially offset million,0.0,18.76,0.0,13.4,156,0,5,5
104,fuel purchased power cost,10.53,18.71,3.01,16.04,227,2,6,4
118,june compared period primarily,8.72,17.77,7.47,5.08,179,6,2,4
127,million primarily due million,10.32,19.35,1.47,13.82,328,1,5,4
130,month ended june compared period,8.72,17.77,7.47,5.08,521,6,2,4
133,month ended september compared period,8.72,17.77,7.47,5.08,271,6,2,4
66,ended september compared period,8.72,17.77,7.47,5.08,276,6,2,4
62,ended june compared period primarily,8.72,17.77,7.47,5.08,179,6,2,4
61,ended june compared period,8.72,17.77,7.47,5.08,531,6,2,4
156,partially offset million decrease,9.88,19.21,1.41,13.72,196,1,5,4
164,primarily due million decrease,0.0,18.7,0.0,10.69,156,0,4,4
112,increase partially offset million decrease,0.0,18.82,0.0,10.75,134,0,4,4
13,cash flow used investing,9.26,19.28,6.61,5.51,230,5,2,3
188,statement integral part financial,0.0,18.32,0.0,7.85,265,0,3,3
128,million primarily due million increase,0.0,19.14,0.0,8.2,172,0,3,3
119,june compared period primarily due,9.26,17.77,6.61,5.08,164,5,2,3
99,financial statement integral part financial,0.0,18.32,0.0,7.85,265,0,3,3
98,financial statement integral part,0.0,18.32,0.0,7.85,265,0,3,3
152,note integral part financial,7.35,0.0,3.15,0.0,192,3,0,3
3,accompanying note integral part financial,7.35,0.0,3.15,0.0,192,3,0,3
114,increased million primarily due million,10.32,18.99,1.47,10.85,193,1,4,3
12,cash flow provided operating,8.97,18.54,3.84,2.65,221,3,1,2
8,adjustment reconcile net income net,10.58,18.67,4.53,13.34,125,3,5,2
56,current period comprehensive income,0.0,18.86,0.0,5.39,136,0,2,2
193,three month ended june compared,8.4,19.4,6.0,8.31,247,5,3,2
18,combined note consolidated financial,10.32,18.7,5.89,5.34,1185,4,2,2
64,ended june compared six month,7.94,19.26,2.27,11.01,158,2,4,2
9,allowance equity fund used,11.42,19.19,3.26,10.96,170,2,4,2
147,note financial statement additional,0.0,19.12,0.0,5.46,174,0,2,2
136,net income net cash,10.58,18.67,4.53,13.34,212,3,5,2
63,ended june compared six,7.94,19.26,2.27,11.01,158,2,4,2
7,adjustment reconcile net income,10.58,18.67,4.53,13.34,125,3,5,2
131,month ended june compared six,7.94,19.26,2.27,11.01,158,2,4,2
86,expense increased million primarily,0.0,18.7,0.0,5.34,226,0,2,2
166,reconcile net income net,10.58,18.67,4.53,13.34,212,3,5,2
121,june compared six month ended,7.94,19.26,2.27,11.01,158,2,4,2
120,june compared six month,7.94,19.26,2.27,11.01,158,2,4,2
116,increased million three month ended,8.45,19.68,6.04,8.43,184,5,3,2
115,increased million three month,8.45,19.68,6.04,8.43,184,5,3,2
105,future net income cash,0.0,19.28,0.0,5.51,217,0,2,2
87,expense increased million primarily due,0.0,18.7,0.0,5.34,226,0,2,2
199,year ended december compared,8.65,18.98,3.71,13.56,196,3,5,2
36,consolidated financial statement additional information,10.45,0.0,2.99,0.0,256,2,0,2
19,combined note consolidated financial statement,10.32,18.7,5.89,5.34,629,4,2,2
20,compared period due primarily,5.52,0.0,1.58,0.0,192,2,0,2
