,word,good_score,bad_score,good_score_all,bad_score_all,good_nums,bad_nums,diff
0,accompanying note consolidated,9.773333333333333,23.76,4.886666666666667,3.9600000000000004,3,1,2
1,accompanying note integral,10.557500000000001,21.695,7.038333333333334,7.2316666666666665,4,2,2
2,acmp,0.0,21.98,0.0,3.6633333333333336,0,1,1
3,activity cash flow,10.974999999999998,21.066,7.3166666666666655,17.555,4,5,1
4,adjusted ebitda,0.0,22.282500000000002,0.0,14.855000000000002,0,4,4
5,adopted pursuant,11.190000000000001,21.14,3.7300000000000004,17.616666666666667,2,5,3
6,adopted pursuant section,11.190000000000001,21.14,3.7300000000000004,17.616666666666667,2,5,3
7,africa,10.68,21.116666666666667,7.12,10.558333333333334,4,3,1
8,agrio,7.8,0.0,1.3,0.0,1,0,1
9,alaska,9.79,20.485,6.526666666666666,13.656666666666666,4,4,0
10,alba,9.372499999999999,20.646666666666665,6.248333333333332,10.323333333333332,4,3,1
11,altus,8.98,20.0,1.4966666666666668,3.3333333333333335,1,1,0
12,among williams,0.0,21.98,0.0,3.6633333333333336,0,1,1
13,analysis continued,0.0,21.98,0.0,3.6633333333333336,0,1,1
14,angola,10.06,20.8375,5.03,13.891666666666666,3,4,1
15,apa,9.834999999999999,21.515,9.834999999999999,21.515,6,6,0
16,apache,8.28,20.990000000000002,4.14,6.996666666666667,3,2,1
17,apache corporation,8.28,20.990000000000002,4.14,6.996666666666667,3,2,1
18,apache corporation subsidiary,8.98,0.0,1.4966666666666668,0.0,1,0,1
19,approximately percent,9.834999999999999,22.200000000000003,9.834999999999999,14.800000000000002,6,4,2
20,arbitration,9.79,21.884,6.526666666666666,18.236666666666668,4,5,1
21,argentina,9.294,21.3325,7.745,14.221666666666666,5,4,1
22,asbestos,0.0,20.29,0.0,3.3816666666666664,0,1,1
23,asc topic,10.241999999999999,22.282500000000002,8.534999999999998,14.855000000000002,5,4,1
24,ashland,13.83,0.0,2.305,0.0,1,0,1
25,asia,9.79,21.066,6.526666666666666,17.555,4,5,1
26,attributable common,8.765,20.990000000000002,2.921666666666667,6.996666666666667,2,2,0
27,attributable common stock,8.765,20.990000000000002,2.921666666666667,6.996666666666667,2,2,0
28,attributable company,10.76,21.84,3.5866666666666664,7.28,2,2,0
29,australia,9.48,21.3325,6.32,14.221666666666666,4,4,0
30,available common,9.157499999999999,21.913333333333338,6.1049999999999995,10.956666666666669,4,3,1
31,average realized,10.241999999999999,21.913333333333338,8.534999999999998,10.956666666666669,5,3,2
32,backlog,8.443333333333333,20.8375,4.221666666666667,13.891666666666666,3,4,1
33,bakken,9.896666666666667,22.282500000000002,4.948333333333333,14.855000000000002,3,4,1
34,barrel crude,9.834999999999999,21.349999999999998,9.834999999999999,10.674999999999999,6,3,3
35,barrel crude oil,9.294,21.349999999999998,7.745,10.674999999999999,5,3,2
36,barrel oil equivalent,9.294,20.756666666666664,7.745,10.378333333333332,5,3,2
37,basis swap,10.241999999999999,21.913333333333338,8.534999999999998,10.956666666666669,5,3,2
38,bbl,9.834999999999999,22.282500000000002,9.834999999999999,14.855000000000002,6,4,2
39,bcfe,9.61,21.913333333333338,4.805,10.956666666666669,3,3,0
40,beginning page,10.37,21.803333333333338,6.913333333333333,10.901666666666669,4,3,1
41,bit,9.834999999999999,21.515,9.834999999999999,21.515,6,6,0
42,boe,9.294,20.485,7.745,13.656666666666666,5,4,1
43,border pipeline,13.83,21.880000000000003,2.305,7.293333333333334,1,2,1
44,brazil,10.06,21.066,5.03,17.555,3,5,2
45,brent,9.294,19.98,7.745,6.66,5,2,3
46,brokered,12.54,20.0,2.09,3.3333333333333335,1,1,0
47,brown,10.023333333333333,21.5075,5.011666666666667,14.338333333333333,3,4,1
48,brown root,0.0,20.29,0.0,3.3816666666666664,0,1,1
49,cabot,12.54,21.98,2.09,3.6633333333333336,1,1,0
50,cabot oil,12.54,21.98,2.09,3.6633333333333336,1,1,0
51,cabot oil gas,12.54,21.98,2.09,3.6633333333333336,1,1,0
52,cameron,8.98,21.066,1.4966666666666668,17.555,1,5,4
53,capital exploration,9.834999999999999,0.0,9.834999999999999,0.0,6,0,6
54,cement,9.834999999999999,21.515,9.834999999999999,21.515,6,6,0
55,cementing,9.924999999999999,21.116666666666667,3.308333333333333,10.558333333333334,2,3,1
56,cercla,11.64,21.5075,5.82,14.338333333333333,3,4,1
57,certification chief,10.787499999999998,20.485,7.1916666666666655,13.656666666666666,4,4,0
58,charge credit,10.68,21.066,7.12,17.555,4,5,1
59,chevron corporation,9.467500000000001,23.76,6.311666666666667,3.9600000000000004,4,1,3
60,chevrontexaco,10.815,23.76,3.605,3.9600000000000004,2,1,1
61,class share,13.83,21.913333333333338,2.305,10.956666666666669,1,3,2
62,collar,10.241999999999999,22.355,8.534999999999998,14.903333333333334,5,4,1
63,commodity derivative contract,9.834999999999999,21.913333333333338,9.834999999999999,10.956666666666669,6,3,3
64,commodity derivative instrument,9.834999999999999,23.76,9.834999999999999,3.9600000000000004,6,1,5
65,commodity price risk,10.241999999999999,21.352500000000003,8.534999999999998,14.235000000000001,5,4,1
66,common unit,8.443333333333333,21.913333333333338,4.221666666666667,10.956666666666669,3,3,0
67,company llc,10.339999999999998,21.352500000000003,8.616666666666665,14.235000000000001,5,4,1
68,company note,10.787499999999998,20.485,7.1916666666666655,13.656666666666666,4,4,0
69,company recorded,10.339999999999998,22.273333333333337,8.616666666666665,11.136666666666668,5,3,2
70,completion production,10.091999999999999,21.7775,8.409999999999998,14.518333333333333,5,4,1
71,condensate,9.834999999999999,21.913333333333338,9.834999999999999,10.956666666666669,6,3,3
72,condensate natural,9.834999999999999,22.87,9.834999999999999,7.623333333333334,6,2,4
73,condensate natural gas,9.834999999999999,22.87,9.834999999999999,7.623333333333334,6,2,4
74,condensate ngls,9.834999999999999,22.87,9.834999999999999,7.623333333333334,6,2,4
75,condensed consolidated,10.557500000000001,21.86,7.038333333333334,14.573333333333332,4,4,0
76,condensed consolidated balance,9.466666666666667,20.29,4.733333333333333,3.3816666666666664,3,1,2
77,condensed consolidated financial,10.557500000000001,22.025,7.038333333333334,7.341666666666666,4,2,2
78,condensed consolidated statement,9.924999999999999,21.226666666666667,3.308333333333333,10.613333333333333,2,3,1
79,consolidated condensed,8.55,21.84,1.425,7.28,1,2,1
80,consolidated revenue,10.453333333333335,21.515,5.2266666666666675,21.515,3,6,3
81,consolidated statement operation,10.974999999999998,21.415,7.3166666666666655,14.276666666666666,4,4,0
82,constitution,9.467500000000001,20.485,6.311666666666667,13.656666666666666,4,4,0
83,contract rate,8.39,21.884,2.796666666666667,18.236666666666668,2,5,3
84,contract rate fair,0.0,23.39,0.0,3.8983333333333334,0,1,1
85,convertible preferred,9.79,21.913333333333338,6.526666666666666,10.956666666666669,4,3,1
86,corporation incentive,10.68,19.67,7.12,3.2783333333333338,4,1,3
87,corporation subsidiary note,8.443333333333333,0.0,4.221666666666667,0.0,3,0,3
88,creek,9.834999999999999,21.913333333333338,9.834999999999999,10.956666666666669,6,3,3
89,crude oil condensate,9.834999999999999,21.913333333333338,9.834999999999999,10.956666666666669,6,3,3
90,cubic foot natural,9.834999999999999,20.990000000000002,9.834999999999999,6.996666666666667,6,2,4
91,cubic foot per,9.294,21.913333333333338,7.745,10.956666666666669,5,3,2
92,dd rate,10.241999999999999,23.76,8.534999999999998,3.9600000000000004,5,1,4
93,debenture,9.79,21.14,6.526666666666666,17.616666666666667,4,5,1
94,december file,9.834999999999999,21.515,9.834999999999999,21.515,6,6,0
95,december occidental,8.55,0.0,1.425,0.0,1,0,1
96,december sec,9.834999999999999,21.066,9.834999999999999,17.555,6,5,1
97,deferred charge,9.773333333333333,21.913333333333338,4.886666666666667,10.956666666666669,3,3,0
98,deferred compensation plan,9.834999999999999,22.48,9.834999999999999,11.24,6,3,3
99,deferred credit,9.79,21.913333333333338,6.526666666666666,10.956666666666669,4,3,1
