,social_beta,governance_beta,environment_beta
million,,,
gas,,,
financial,,,
company,,,
income,,,
oil,,,
net,,,
asset,,,
cost,,,
cash,,,
price,,,
statement,,,
operation,,,
tax,,,
value,,,
december,,,
natural,,,
interest,,,
consolidated,,,
production,,,
note,,,
result,,,
share,,,
period,,,
stock,,,
quarter,,,
month,,,
loss,,,
rate,,,
ended,,,
year,,,
operating,,,
sale,,,
expense,,,
per,,,
may,,,
liability,,,
change,,,
activity,,,
amount,,,
plan,,,
fair,,,
related,,,
total,,,
market,,,
due,,,
revenue,,,
contract,,,
s,,,
credit,,,
increase,,,
percent,,,
derivative,,,
well,,,
certain,,,
including,,,
billion,,,
debt,,,
first,,,
future,,,
service,,,
agreement,,,
primarily,,,
facility,,,
information,,,
crude,,,
business,,,
common,,,
capital,,,
item,,,
report,,,
risk,,,
segment,,,
benefit,,,
flow,,,
equity,,,
reserve,,,
corporation,,,
approximately,,,
june,,,
investment,,,
property,,,
based,,,
earnings,,,
accounting,,,
pipeline,,,
also,,,
september,,,
product,,,
three,,,
increased,,,
march,,,
obligation,,,
following,,,
current,,,
included,,,
balance,,,
partner,,,
commodity,,,
effect,,,
project,,,
could,,,
energy,,,
additional,,,
compared,,,
subsidiary,,,
new,,,
gain,,,
volume,,,
average,,,
management,,,
drilling,2.5284210526315785,1.6510526315789467,-0.05421052631579065
filed,,,
instrument,,,
impact,,,
control,,,
purchase,,,
level,,,
acquisition,,,
estimate,,,
condition,,,
associated,,,
act,,,
used,,,
higher,,,
exhibit,,,
material,,,
lower,,,
development,,,
decrease,,,
transaction,,,
unit,,,
impairment,,,
expected,,,
respectively,,,
environmental,,,
include,,,
exploration,,,
significant,,,
u,,,
see,,,
date,,,
effective,,,
option,,,
basis,,,
issued,,,
foreign,,,
required,,,
reporting,,,
eog,-0.1261538461538462,-0.5163736263736264,1.9429670329670334
expenditure,,,
term,,,
january,,,
regulation,,,
third,,,
outstanding,,,
barrel,,,
subject,,,
part,,,
time,,,
occidental,-0.7345833333333331,0.40875000000000034,1.6899999999999995
oneok,-1.7066666666666663,-2.728666666666667,-3.8886666666666674
deferred,,,
includes,,,
payment,,,
nine,,,
proved,1.8150000000000004,1.3606249999999998,1.8887499999999995
six,,,
estimated,,,
lease,,,
addition,,,
annual,,,
recorded,,,
officer,,,
second,,,
compensation,,,
program,,,
factor,,,
dollar,,,
hedge,,,
customer,,,
reference,,,
disclosure,,,
comprehensive,,,
recognized,,,
marketing,,,
employee,,,
one,,,
charge,,,
performance,,,
party,,,
area,,,
dividend,,,
offset,,,
would,,,
general,,,
prior,,,
position,,,
award,,,
currency,,,
margin,,,
registrant,,,
