,social_beta,governance_beta,environment_beta
slower,1894.9116495928095,234.64111760511193,-1537.5061488019303
registeredcommon,1526.757749080686,1574.8371279196879,3806.7947153326513
typical,1399.729712631471,1070.1396050319984,388.1655703994343
prevented,1314.462623569503,1402.2483398700679,-597.3800438041816
contributory,1259.6635677447466,450.5860485844813,2730.4061283387596
identifies,1196.527195900371,1280.1653670180158,3419.2600651760017
deduct,1196.363774117623,825.1911844793652,1947.5942510212435
marginal,1193.8372071800852,787.2860483109304,-281.57860590032726
attempted,1165.2131340968253,880.5114961913982,149.9332682949874
optimal,1119.7880578249512,818.9594694354136,1046.7527956298009
balancing,1090.751815893522,729.7147233880485,2086.5568159616796
depict,1086.0305216602278,589.0711997892294,171.4354443073897
collectibility,1083.592171883326,382.1023183448475,-2148.9555595266916
realizing,1063.7208231726183,597.4614372227314,2314.6955014070368
exited,1030.6596384064887,514.878949641452,2014.5468485362826
sample,981.2728323964263,1275.4041991384836,360.17158374952436
endeddecember,975.2771893979565,384.8902366543982,1007.0536025148056
impossible,958.4803529202193,452.0639373034901,1576.2895755592842
persist,946.2898189053968,102.66574910553494,-2375.7455473406394
obligationsthe,930.7566863345356,677.3656353899082,2613.1543329868323
helped,924.7618583336762,644.4106600822287,-670.9191688740899
institute,919.7415436919022,831.647767431784,893.2764570164601
today,914.6802992275461,576.5705315953362,-198.7932536814698
opposition,908.039479364399,0.08432173684255057,835.2744851600994
expend,907.6289876538975,388.18254005142546,1600.5791237245191
destruction,884.7876824211363,745.2304980217273,-255.11265399195153
compute,876.2564533131285,118.59852953716124,653.2219331027159
combining,853.3144311392336,398.77642226437285,220.37695601560443
surviving,843.4720994358108,304.6501771916891,986.7176851683405
geology,825.2057424227246,1220.4234842518338,747.0096534867441
geographically,822.4973432201234,886.3745911985537,-854.1240935786387
proximity,814.103681635934,514.1140638170149,1708.6236517240068
continual,808.3144263907835,411.5162410885314,998.6962747732059
ray,806.5373149754334,313.96820957607235,809.2512663030578
staffing,799.6322153356182,355.48358600714874,371.8417327634415
equitable,798.3812648433855,650.3125582987756,248.92011977599364
clearly,797.3855384102611,228.52998978279084,1007.7906104517797
derecognition,792.372973038705,630.3571902549999,638.0140510013473
seasonality,791.3099020777296,-50.09099490704622,-435.07121014053234
atmosphere,784.6145643769387,369.6235848662978,539.9556244229015
